"order_day","total_orders","revenue"
"2024-07-09","34","748876.42"
"2024-07-10","20","492812.93"
"2024-07-11","33","870421.07"
"2024-07-12","31","491810.60"
"2024-07-13","26","537340.00"
"2024-07-14","30","876306.22"
"2024-07-15","41","841286.29"
"2024-07-16","29","525833.33"
"2024-07-17","32","798641.60"
"2024-07-18","26","509718.60"
"2024-07-19","33","735088.81"
"2024-07-20","35","643419.15"
"2024-07-21","35","1284091.91"
"2024-07-22","30","954407.20"
"2024-07-23","31","853742.01"
"2024-07-24","27","411481.76"
"2024-07-25","41","786543.21"
"2024-07-26","41","1101945.37"
"2024-07-27","40","1144393.38"
"2024-07-28","36","670496.78"
"2024-07-29","35","894083.12"
"2024-07-30","47","1422362.17"
"2024-07-31","28","460302.60"
"2024-08-01","41","1002496.69"
"2024-08-02","39","724710.18"
"2024-08-03","41","1064843.05"
"2024-08-04","27","628204.64"
"2024-08-05","39","1206971.51"
"2024-08-06","35","843046.35"
"2024-08-07","36","959831.52"
"2024-08-08","41","767082.04"
"2024-08-09","34","857013.73"
"2024-08-10","29","625368.70"
"2024-08-11","28","694277.84"
"2024-08-12","48","1019088.70"
"2024-08-13","33","854229.60"
"2024-08-14","38","878623.96"
"2024-08-15","39","1244168.55"
"2024-08-16","28","1014937.60"
"2024-08-17","38","732049.53"
"2024-08-18","40","1071709.09"
"2024-08-19","36","987422.17"
"2024-08-20","43","1244111.11"
"2024-08-21","38","1414992.32"
"2024-08-22","30","684443.12"
"2024-08-23","28","520454.10"
"2024-08-24","26","581611.64"
"2024-08-25","34","840735.05"
"2024-08-26","33","747534.73"
"2024-08-27","34","580153.87"
"2024-08-28","24","552615.22"
"2024-08-29","32","514475.67"
"2024-08-30","33","716418.19"
"2024-08-31","31","686540.44"
"2024-09-01","41","962064.45"
"2024-09-02","42","1392675.53"
"2024-09-03","42","1067154.71"
"2024-09-04","31","506234.24"
"2024-09-05","34","909011.66"
"2024-09-06","28","667681.48"
"2024-09-07","40","1187274.85"
"2024-09-08","34","700496.20"
"2024-09-09","28","815195.81"
"2024-09-10","37","1227130.07"
"2024-09-11","28","693535.03"
"2024-09-12","28","439805.31"
"2024-09-13","34","709376.78"
"2024-09-14","41","828889.34"
"2024-09-15","43","1083288.91"
"2024-09-16","36","711259.18"
"2024-09-17","39","690882.32"
"2024-09-18","24","427625.31"
"2024-09-19","26","626190.54"
"2024-09-20","36","956696.95"
"2024-09-21","31","777034.76"
"2024-09-22","36","805738.92"
"2024-09-23","33","581741.04"
"2024-09-24","26","788286.48"
"2024-09-25","34","827472.79"
"2024-09-26","34","976101.38"
"2024-09-27","36","770047.00"
"2024-09-28","40","1198011.90"
"2024-09-29","41","1522980.09"
"2024-09-30","26","357921.81"
"2024-10-01","19","426878.97"
"2024-10-02","32","1214846.34"
"2024-10-03","26","1000461.22"
"2024-10-04","35","967078.08"
"2024-10-05","34","935447.36"
"2024-10-06","38","1395170.46"
"2024-10-07","32","899105.09"
"2024-10-08","32","596322.46"
"2024-10-09","31","730101.15"
"2024-10-10","33","1028605.80"
"2024-10-11","44","1421497.94"
"2024-10-12","28","1033242.90"
"2024-10-13","25","869267.58"
"2024-10-14","38","1109586.85"
"2024-10-15","24","400944.14"
"2024-10-16","31","638557.69"
"2024-10-17","31","833794.05"
"2024-10-18","36","1151958.75"
"2024-10-19","43","1259173.83"
"2024-10-20","40","1160310.03"
"2024-10-21","30","903579.15"
"2024-10-22","39","1021776.62"
"2024-10-23","38","1035639.68"
"2024-10-24","32","1077188.04"
"2024-10-25","27","569034.32"
"2024-10-26","40","1209747.83"
"2024-10-27","29","813635.69"
"2024-10-28","30","849810.37"
"2024-10-29","24","459682.01"
"2024-10-30","35","611208.25"
"2024-10-31","33","1153967.39"
"2024-11-01","30","850587.25"
"2024-11-02","28","438718.16"
"2024-11-03","33","1130432.19"
"2024-11-04","34","712232.41"
"2024-11-05","28","803441.03"
"2024-11-06","35","913783.53"
"2024-11-07","30","922245.14"
"2024-11-08","22","599892.24"
"2024-11-09","35","938680.09"
"2024-11-10","29","1190560.34"
"2024-11-11","38","1141262.79"
"2024-11-12","33","797361.48"
"2024-11-13","36","1088037.63"
"2024-11-14","39","1159197.21"
"2024-11-15","41","1357805.05"
"2024-11-16","34","896340.15"
"2024-11-17","37","1039780.48"
"2024-11-18","30","818220.76"
"2024-11-19","36","1156899.77"
"2024-11-20","35","1388304.29"
"2024-11-21","23","515282.76"
"2024-11-22","46","1413154.84"
"2024-11-23","33","678720.06"
"2024-11-24","45","835866.22"
"2024-11-25","37","1532905.37"
"2024-11-26","35","874171.30"
"2024-11-27","24","750821.35"
"2024-11-28","42","1026352.11"
"2024-11-29","23","480064.23"
"2024-11-30","28","934974.08"
"2024-12-01","32","753389.56"
"2024-12-02","30","664326.20"
"2024-12-03","30","720506.74"
"2024-12-04","41","875815.24"
"2024-12-05","33","821547.95"
"2024-12-06","47","1324493.64"
"2024-12-07","38","653638.15"
"2024-12-08","54","1218378.28"
"2024-12-09","25","762009.01"
"2024-12-10","33","415010.75"
"2024-12-11","32","547189.81"
"2024-12-12","26","463931.59"
"2024-12-13","29","543927.59"
"2024-12-14","38","1107831.36"
"2024-12-15","38","572142.49"
"2024-12-16","37","1038212.14"
"2024-12-17","28","864842.66"
"2024-12-18","26","507452.83"
"2024-12-19","28","881051.47"
"2024-12-20","29","582094.00"
"2024-12-21","25","641109.94"
"2024-12-22","45","1426389.21"
"2024-12-23","35","765758.33"
"2024-12-24","40","1073486.59"
"2024-12-25","30","647152.29"
"2024-12-26","38","1045142.44"
"2024-12-27","31","496470.55"
"2024-12-28","30","1012748.10"
"2024-12-29","34","789088.89"
"2024-12-30","31","436410.54"
"2024-12-31","20","509457.35"
"2025-01-01","44","1102627.89"
"2025-01-02","33","975921.88"
"2025-01-03","32","1265415.28"
"2025-01-04","32","706623.89"
"2025-01-05","40","1298450.86"
"2025-01-06","31","600678.60"
"2025-01-07","43","1247936.13"
"2025-01-08","35","610194.54"
"2025-01-09","24","784902.69"
"2025-01-10","34","784124.15"
"2025-01-11","41","828955.35"
"2025-01-12","41","1421245.09"
"2025-01-13","34","779425.57"
"2025-01-14","41","1173649.68"
"2025-01-15","31","822432.51"
"2025-01-16","36","987160.40"
"2025-01-17","35","926999.42"
"2025-01-18","30","700397.92"
"2025-01-19","44","1245663.00"
"2025-01-20","23","764691.40"
"2025-01-21","35","727988.49"
"2025-01-22","46","949005.26"
"2025-01-23","35","1431377.42"
"2025-01-24","34","708522.27"
"2025-01-25","22","560592.39"
"2025-01-26","37","1034566.53"
"2025-01-27","29","438182.45"
"2025-01-28","45","1314361.39"
"2025-01-29","37","731710.54"
"2025-01-30","27","408374.13"
"2025-01-31","36","1226469.84"
"2025-02-01","30","807613.01"
"2025-02-02","40","1072875.11"
"2025-02-03","27","387725.25"
"2025-02-04","29","584829.17"
"2025-02-05","28","494015.79"
"2025-02-06","37","1104450.01"
"2025-02-07","37","1089553.94"
"2025-02-08","21","594695.50"
"2025-02-09","39","1057793.24"
"2025-02-10","39","663900.15"
"2025-02-11","34","1104841.86"
"2025-02-12","38","885251.06"
"2025-02-13","43","1094427.57"
"2025-02-14","36","886373.92"
"2025-02-15","26","721988.37"
"2025-02-16","30","879927.04"
"2025-02-17","33","886550.71"
"2025-02-18","36","717878.57"
"2025-02-19","34","596387.04"
"2025-02-20","32","669991.74"
"2025-02-21","27","569007.23"
"2025-02-22","38","764501.50"
"2025-02-23","32","589167.32"
"2025-02-24","38","835899.18"
"2025-02-25","35","979265.88"
"2025-02-26","30","1013990.46"
"2025-02-27","32","689197.02"
"2025-02-28","38","973892.01"
"2025-03-01","32","576672.00"
"2025-03-02","33","774526.19"
"2025-03-03","31","1018946.94"
"2025-03-04","31","746641.45"
"2025-03-05","30","529521.64"
"2025-03-06","28","893367.02"
"2025-03-07","36","878004.07"
"2025-03-08","34","902947.15"
"2025-03-09","35","888642.11"
"2025-03-10","34","1033251.28"
"2025-03-11","42","927370.28"
"2025-03-12","37","754211.62"
"2025-03-13","48","1018345.23"
"2025-03-14","33","617819.99"
"2025-03-15","28","635796.53"
"2025-03-16","30","787741.13"
"2025-03-17","41","1056647.83"
"2025-03-18","33","819971.19"
"2025-03-19","35","551395.94"
"2025-03-20","36","993210.41"
"2025-03-21","30","514666.41"
"2025-03-22","37","513385.28"
"2025-03-23","27","655515.66"
"2025-03-24","25","623941.17"
"2025-03-25","36","588670.96"
"2025-03-26","40","945409.70"
"2025-03-27","32","533244.22"
"2025-03-28","30","593738.25"
"2025-03-29","21","462820.82"
"2025-03-30","28","724950.69"
"2025-03-31","37","538062.45"
"2025-04-01","34","534545.85"
"2025-04-02","38","663095.93"
"2025-04-03","28","558915.97"
"2025-04-04","31","1037269.35"
"2025-04-05","36","783519.98"
"2025-04-06","30","546509.96"
"2025-04-07","34","1082957.44"
"2025-04-08","32","768676.99"
"2025-04-09","30","590270.37"
"2025-04-10","27","565405.94"
"2025-04-11","26","497778.88"
"2025-04-12","34","794592.84"
"2025-04-13","41","986318.99"
"2025-04-14","26","503868.09"
"2025-04-15","35","1028041.24"
"2025-04-16","32","567345.69"
"2025-04-17","29","683697.63"
"2025-04-18","24","447270.56"
"2025-04-19","36","1118123.95"
"2025-04-20","41","622008.00"
"2025-04-21","31","566649.44"
"2025-04-22","36","1050299.88"
"2025-04-23","31","559704.68"
"2025-04-24","36","727037.16"
"2025-04-25","27","482525.98"
"2025-04-26","30","625154.39"
"2025-04-27","22","709269.59"
"2025-04-28","21","464576.40"
"2025-04-29","30","616752.34"
"2025-04-30","45","1679958.61"
"2025-05-01","42","1194740.16"
"2025-05-02","35","675780.96"
"2025-05-03","39","1015936.24"
"2025-05-04","36","651448.06"
"2025-05-05","34","762945.45"
"2025-05-06","39","1171735.26"
"2025-05-07","29","517819.83"
"2025-05-08","36","1071281.94"
"2025-05-09","39","1401180.01"
"2025-05-10","39","957868.59"
"2025-05-11","33","855197.08"
"2025-05-12","33","709058.88"
"2025-05-13","42","1528896.34"
"2025-05-14","36","854104.99"
"2025-05-15","38","1063706.65"
"2025-05-16","30","820606.51"
"2025-05-17","35","514545.58"
"2025-05-18","33","883949.85"
"2025-05-19","30","664200.71"
"2025-05-20","31","687520.62"
"2025-05-21","36","920338.39"
"2025-05-22","40","1121854.26"
"2025-05-23","46","1345900.73"
"2025-05-24","35","615457.71"
"2025-05-25","35","702286.84"
"2025-05-26","32","877118.88"
"2025-05-27","42","783497.19"
"2025-05-28","32","709830.33"
"2025-05-29","33","610000.57"
"2025-05-30","33","500270.69"
"2025-05-31","50","1609648.77"
"2025-06-01","35","828938.64"
"2025-06-02","39","569162.37"
"2025-06-03","30","720510.95"
"2025-06-04","36","556867.64"
"2025-06-05","35","515772.00"
"2025-06-06","34","1295106.85"
"2025-06-07","42","1066852.07"
"2025-06-08","40","772271.83"
"2025-06-09","36","1095994.54"
"2025-06-10","29","624300.32"
"2025-06-11","39","608438.78"
"2025-06-12","32","630578.57"
"2025-06-13","37","1186499.91"
"2025-06-14","35","1121662.63"
"2025-06-15","32","654426.29"
"2025-06-16","26","473559.59"
"2025-06-17","39","861188.08"
"2025-06-18","30","826789.64"
"2025-06-19","32","1052799.76"
"2025-06-20","30","463401.16"
"2025-06-21","40","912549.88"
"2025-06-22","38","768735.46"
"2025-06-23","41","1171175.38"
"2025-06-24","53","1511356.14"
"2025-06-25","33","817532.22"
"2025-06-26","38","744536.92"
"2025-06-27","27","886695.67"
"2025-06-28","26","627524.68"
"2025-06-29","27","1311859.09"
"2025-06-30","33","820917.49"
"2025-07-01","36","1039194.75"
"2025-07-02","35","544057.44"
"2025-07-03","31","898083.02"
"2025-07-04","26","393630.42"
"2025-07-05","24","476325.70"
"2025-07-06","29","537209.49"
"2025-07-07","32","657384.92"
"2025-07-08","33","680682.78"
"2025-07-09","52","1329815.94"
"2025-07-10","34","846971.69"
"2025-07-11","35","465969.73"
"2025-07-12","31","684750.22"
"2025-07-13","30","512124.65"
"2025-07-14","30","622866.30"
"2025-07-15","28","597099.50"
"2025-07-16","36","823751.11"
"2025-07-17","28","647010.82"
"2025-07-18","32","971974.94"
"2025-07-19","38","714796.98"
"2025-07-20","26","588143.98"
"2025-07-21","44","1064775.66"
"2025-07-22","28","830930.86"
"2025-07-23","45","880857.06"
"2025-07-24","33","594484.15"
"2025-07-25","38","643568.71"
"2025-07-26","36","966518.43"
"2025-07-27","29","594907.88"
"2025-07-28","39","919986.53"
"2025-07-29","38","904401.81"
"2025-07-30","29","775912.70"
"2025-07-31","34","658902.44"
"2025-08-01","39","1032071.62"
"2025-08-02","41","855251.05"
"2025-08-03","37","847693.59"
"2025-08-04","37","802411.03"
"2025-08-05","34","671703.87"
"2025-08-06","37","932589.51"
"2025-08-07","28","707053.51"
"2025-08-08","33","554767.23"
"2025-08-09","41","868189.05"
"2025-08-10","38","738035.86"
"2025-08-11","16","389650.48"
"2025-08-12","29","419115.65"
"2025-08-13","30","786883.99"
"2025-08-14","31","589600.01"
"2025-08-15","38","925834.49"
