order_item_id,order_id,product_id,quantity,unit_price,discount,estimated_cost
OI0000140,O000058,P00067,1,9528.92,0.18,9358.41
OI0000141,O000059,P00609,1,2366.49,0.0,1802.68
OI0000142,O000059,P00598,1,12304.19,0.1,11917.81
OI0000143,O000059,P00262,1,952.5,0.05,679.46
OI0000144,O000060,P00385,1,1914.63,0.09,1274.16
OI0000145,O000060,P00305,1,5410.85,0.1,4396.59
OI0000146,O000060,P00129,2,1626.05,0.06,2650.46
OI0000147,O000060,P00596,1,2822.45,0.1,2472.42
OI0000148,O000060,P00624,2,2198.1,0.08,3764.54
OI0000149,O000060,P00177,1,1584.26,0.03,1266.78
OI0000150,O000061,P00466,1,10158.24,0.07,6078.03
OI0000151,O000062,P00276,3,1409.2,0.09,3245.04
OI0000152,O000063,P00524,1,1516.01,0.0,1279.62
OI0000153,O000063,P00323,2,2656.85,0.09,4570.46
OI0000154,O000064,P00289,1,1626.03,0.0,1316.23
OI0000155,O000064,P00501,1,528.57,0.07,385.82
OI0000156,O000064,P00787,1,3338.1,0.13,2921.89
OI0000157,O000064,P00197,1,3780.73,0.07,2701.26
OI0000158,O000064,P00055,1,11558.24,0.08,9081.3
OI0000159,O000065,P00162,2,1960.81,0.19,3445.1
OI0000160,O000066,P00754,1,588.34,0.05,353.0
OI0000161,O000067,P00718,1,1814.15,0.1,1486.36
OI0000162,O000067,P00399,1,7159.45,0.12,6896.51
OI0000163,O000067,P00202,1,1088.86,0.11,673.44
OI0000164,O000068,P00350,1,1376.29,0.08,1271.37
OI0000165,O000068,P00741,1,9967.41,0.03,8458.78
OI0000166,O000068,P00528,2,20076.86,0.01,32140.96
OI0000167,O000069,P00572,1,3492.57,0.19,3329.56
OI0000168,O000070,P00185,1,3766.91,0.11,2831.03
OI0000169,O000070,P00674,1,2979.14,0.18,2049.63
OI0000170,O000071,P00220,1,8124.02,0.11,7594.01
OI0000171,O000071,P00718,1,1914.93,0.05,1486.36
OI0000172,O000071,P00199,1,3209.35,0.0,2144.97
OI0000173,O000071,P00064,1,10779.43,0.23,9418.43
OI0000174,O000072,P00628,2,11566.7,0.08,17700.64
OI0000175,O000072,P00433,1,40549.72,0.11,33579.02
OI0000176,O000072,P00644,2,3497.01,0.0,5854.94
OI0000177,O000073,P00029,2,10176.14,0.03,13994.58
OI0000178,O000073,P00330,1,989.25,0.12,814.42
OI0000179,O000074,P00230,1,8086.52,0.07,6743.48
OI0000180,O000074,P00563,3,46779.19,0.0,110439.18
OI0000181,O000075,P00550,1,19190.31,0.0,15375.59
OI0000182,O000075,P00367,3,5120.23,0.0,10310.19
OI0000183,O000076,P00178,2,2164.85,0.0,2864.88
OI0000184,O000076,P00658,1,1232.67,0.13,1153.99
OI0000185,O000077,P00652,1,1959.35,0.04,1164.18
OI0000186,O000077,P00481,2,886.89,0.02,1455.56
OI0000187,O000077,P00566,4,35918.8,0.08,92348.84
OI0000188,O000078,P00771,1,3231.45,0.06,1964.93
OI0000189,O000079,P00417,3,3192.75,0.12,8045.88
OI0000190,O000079,P00000,2,152.32,0.05,282.16
OI0000191,O000080,P00063,1,3377.44,0.14,2731.01
OI0000192,O000081,P00587,2,8638.92,0.12,15013.54
OI0000193,O000082,P00769,1,9343.28,0.15,7934.65
OI0000194,O000082,P00171,1,2626.44,0.13,1787.35
OI0000195,O000082,P00530,1,1545.62,0.11,1072.74
OI0000196,O000082,P00448,2,2749.36,0.0,3642.86
OI0000197,O000083,P00053,1,1059.03,0.19,916.69
OI0000198,O000084,P00335,1,1581.82,0.09,1278.19
OI0000199,O000084,P00440,1,2114.62,0.12,2111.81
OI0000200,O000084,P00218,1,10618.25,0.19,9323.4
OI0000201,O000084,P00362,3,1391.27,0.13,3815.73
OI0000202,O000085,P00765,4,1444.81,0.15,5850.28
OI0000203,O000086,P00240,3,1987.88,0.0,4511.55
OI0000204,O000086,P00358,2,999.3,0.14,1863.6
OI0000205,O000086,P00789,3,19815.88,0.02,46696.44
OI0000206,O000087,P00296,2,1635.7,0.0,2630.44
OI0000207,O000088,P00370,2,4513.83,0.0,6065.44
OI0000208,O000089,P00408,3,58341.56,0.0,146140.56
OI0000209,O000089,P00316,1,1222.04,0.0,934.65
OI0000210,O000089,P00585,1,1832.32,0.12,1334.25
OI0000211,O000089,P00741,1,10172.92,0.01,8458.78
OI0000212,O000090,P00275,1,1140.22,0.07,841.28
OI0000213,O000091,P00713,1,4095.33,0.09,3453.07
OI0000214,O000091,P00322,1,2707.95,0.02,2215.55
OI0000215,O000091,P00571,1,30903.86,0.06,25795.31
OI0000216,O000092,P00518,1,5317.95,0.04,4414.71
OI0000217,O000092,P00121,1,1030.43,0.0,901.05
OI0000218,O000092,P00725,1,10128.05,0.08,8683.64
OI0000219,O000093,P00049,2,1680.98,0.06,2728.76
OI0000220,O000093,P00270,3,1379.48,0.0,2703.99
OI0000221,O000094,P00583,1,5735.36,0.0,3649.27
OI0000222,O000095,P00266,1,254.53,0.01,149.71
OI0000223,O000095,P00038,1,1477.01,0.11,976.34
OI0000224,O000095,P00650,2,8006.84,0.13,12969.54
OI0000225,O000096,P00793,1,3393.24,0.14,3396.12
OI0000226,O000097,P00393,1,8534.09,0.15,5603.89
OI0000227,O000097,P00431,1,2002.91,0.1,1546.37
OI0000228,O000097,P00003,1,5473.38,0.07,5092.38
OI0000229,O000097,P00712,1,11836.62,0.1,7741.78
OI0000230,O000097,P00266,1,226.25,0.12,149.71
OI0000231,O000097,P00515,1,3119.16,0.14,2243.06
OI0000232,O000098,P00057,2,39323.19,0.01,47587.36
OI0000233,O000099,P00214,1,10190.42,0.0,7308.7
OI0000234,O000099,P00676,1,4726.07,0.07,3279.85
OI0000235,O000099,P00311,1,769.73,0.0,635.01
OI0000236,O000100,P00081,3,1044.47,0.21,2780.22
OI0000237,O000101,P00002,1,5538.67,0.05,5012.93
OI0000238,O000101,P00260,1,2064.5,0.0,1520.13
OI0000239,O000102,P00303,1,124.0,0.0,70.13
OI0000240,O000102,P00027,4,533.36,0.0,1706.04
OI0000241,O000103,P00673,1,507.87,0.01,370.86
OI0000242,O000103,P00029,1,8917.24,0.15,6997.29
OI0000243,O000104,P00145,2,3816.86,0.05,5226.74
OI0000244,O000104,P00109,2,1597.62,0.15,2431.16
OI0000245,O000105,P00796,1,1455.95,0.02,948.4
OI0000246,O000105,P00559,2,5456.44,0.16,8746.6
OI0000247,O000105,P00515,1,3191.7,0.12,2243.06
OI0000248,O000106,P00599,4,1241.02,0.0,3846.52
OI0000249,O000106,P00628,1,12572.5,0.0,8850.32
OI0000250,O000106,P00552,2,1018.46,0.0,1174.8
OI0000251,O000107,P00351,2,349.32,0.0,496.46
OI0000252,O000107,P00231,3,2351.26,0.0,4385.58
OI0000253,O000108,P00052,1,748.33,0.13,737.86
OI0000254,O000108,P00038,2,1543.39,0.07,1952.68
OI0000255,O000108,P00738,5,7270.25,0.13,32272.0
OI0000256,O000109,P00151,2,1854.88,0.07,3411.84
OI0000257,O000109,P00536,1,2616.84,0.0,1919.07
OI0000258,O000109,P00207,1,4916.4,0.0,3639.96
OI0000259,O000110,P00663,1,107.33,0.06,89.32
OI0000260,O000110,P00458,2,1721.71,0.0,2103.9
OI0000261,O000111,P00647,1,1885.41,0.05,1341.72
OI0000262,O000111,P00036,3,400.64,0.05,1047.18
OI0000263,O000112,P00496,4,1691.41,0.01,3912.92
OI0000264,O000112,P00320,1,3409.61,0.08,2324.32
OI0000265,O000112,P00382,2,41270.2,0.07,71244.28
OI0000266,O000113,P00597,1,6808.37,0.05,5379.32
OI0000267,O000113,P00696,2,963.69,0.06,1729.22
OI0000268,O000114,P00770,1,1729.6,0.24,1357.52
OI0000269,O000114,P00712,1,12362.69,0.06,7741.78
OI0000270,O000114,P00474,1,507.33,0.19,349.49
OI0000271,O000114,P00737,2,1127.82,0.08,2113.94
OI0000272,O000115,P00204,1,502.65,0.0,434.43
OI0000273,O000116,P00164,1,21907.18,0.11,19091.49
OI0000274,O000116,P00474,2,519.85,0.17,698.98
OI0000275,O000116,P00484,1,1420.91,0.0,1204.04
OI0000276,O000117,P00776,2,7598.23,0.0,9968.5
OI0000277,O000117,P00315,1,1518.55,0.11,1011.46
OI0000278,O000118,P00555,1,1626.44,0.09,1274.28
OI0000279,O000118,P00117,2,1523.22,0.0,2671.32
OI0000280,O000119,P00182,1,5952.47,0.0,5130.88
OI0000281,O000119,P00155,1,518.01,0.02,381.16
OI0000282,O000120,P00784,3,35473.18,0.24,80408.37
OI0000283,O000121,P00195,2,12136.66,0.05,21111.08
OI0000284,O000121,P00435,1,163.03,0.02,137.1
OI0000285,O000122,P00750,1,1157.3,0.0,992.75
OI0000286,O000122,P00788,1,1936.67,0.05,1680.31
OI0000287,O000122,P00799,3,832.97,0.15,1784.79
OI0000288,O000123,P00517,1,1715.36,0.09,1414.08
OI0000289,O000123,P00730,1,5709.6,0.0,3760.91
OI0000290,O000123,P00491,3,2252.93,0.07,5573.91
OI0000291,O000124,P00671,2,42869.57,0.05,73225.24
OI0000292,O000124,P00569,2,223.82,0.07,283.8
OI0000293,O000125,P00147,1,1640.68,0.0,1358.88
OI0000294,O000125,P00311,2,769.73,0.0,1270.02
OI0000295,O000126,P00243,3,3268.51,0.0,6758.1
OI0000296,O000126,P00644,1,3497.01,0.0,2927.47
OI0000297,O000127,P00718,1,1753.68,0.13,1486.36
OI0000298,O000127,P00247,1,1814.91,0.0,1124.01
OI0000299,O000128,P00219,1,175.47,0.05,149.41
OI0000300,O000129,P00257,2,2229.69,0.01,2999.58
OI0000301,O000129,P00789,2,18198.26,0.1,31130.96
OI0000302,O000130,P00183,1,228.26,0.0,188.83
OI0000303,O000130,P00039,2,4288.95,0.0,6707.62
OI0000304,O000130,P00084,1,6308.01,0.12,5749.98
OI0000305,O000131,P00596,1,3136.06,0.0,2472.42
OI0000306,O000131,P00084,1,6666.42,0.07,5749.98
OI0000307,O000132,P00118,1,1306.42,0.04,756.09
OI0000308,O000132,P00110,1,3047.95,0.0,2041.54
OI0000309,O000132,P00096,3,825.89,0.0,2166.21
OI0000310,O000133,P00201,4,4438.35,0.08,15611.52
OI0000311,O000133,P00059,1,1136.64,0.06,839.11
OI0000312,O000134,P00039,2,4288.95,0.0,6707.62
OI0000313,O000134,P00443,1,4136.89,0.03,2721.39
OI0000314,O000134,P00473,1,3825.52,0.0,2202.66
OI0000315,O000135,P00480,3,31798.8,0.03,64030.71
OI0000316,O000135,P00770,1,1866.15,0.18,1357.52
OI0000317,O000136,P00362,1,1599.16,0.0,1271.91
OI0000318,O000136,P00651,2,4424.93,0.04,5420.34
OI0000319,O000136,P00427,1,1717.62,0.11,1448.83
OI0000320,O000137,P00336,1,45976.99,0.18,36108.51
OI0000321,O000137,P00638,2,218.8,0.15,417.2
OI0000322,O000138,P00665,2,34090.72,0.1,47653.1
OI0000323,O000138,P00136,1,2839.27,0.07,1779.61
OI0000324,O000139,P00094,3,1609.56,0.01,3545.67
OI0000325,O000139,P00454,2,10710.26,0.03,18039.82
OI0000326,O000139,P00491,1,2228.71,0.08,1857.97
OI0000327,O000140,P00079,4,1867.65,0.0,5459.04
OI0000328,O000140,P00518,1,5207.16,0.06,4414.71
OI0000329,O000140,P00146,1,10335.67,0.0,7755.61
OI0000330,O000141,P00546,3,7256.72,0.03,13657.38
OI0000331,O000142,P00668,1,1758.8,0.0,1389.75
OI0000332,O000142,P00235,1,180.81,0.09,114.47
OI0000333,O000143,P00640,4,4620.74,0.02,10740.56
OI0000334,O000143,P00180,1,303.77,0.0,222.15
OI0000335,O000144,P00799,2,979.96,0.0,1189.86
OI0000336,O000144,P00321,1,7641.14,0.05,4882.28
OI0000337,O000144,P00786,6,1050.51,0.01,5333.64
OI0000338,O000145,P00687,2,9770.4,0.09,12737.36
OI0000339,O000145,P00085,1,58584.56,0.02,38076.14
OI0000340,O000146,P00375,3,1133.96,0.03,2915.67
OI0000341,O000147,P00571,1,31561.39,0.04,25795.31
OI0000342,O000147,P00625,1,1419.07,0.06,1210.18
OI0000343,O000147,P00208,3,2828.54,0.05,6168.57
OI0000344,O000147,P00184,2,2353.66,0.09,2907.08
OI0000345,O000148,P00104,2,3146.62,0.13,5783.94
OI0000346,O000149,P00719,2,69.54,0.08,117.28
OI0000347,O000150,P00432,1,5269.09,0.0,3215.19
OI0000348,O000150,P00027,1,533.36,0.0,426.51
OI0000349,O000150,P00220,1,8671.7,0.05,7594.01
OI0000350,O000151,P00618,1,1510.4,0.07,895.09
OI0000351,O000152,P00217,1,2470.58,0.09,2034.77
OI0000352,O000152,P00176,2,761.08,0.03,883.14
OI0000353,O000152,P00363,1,4810.3,0.0,4090.78
OI0000354,O000153,P00133,1,5198.98,0.09,3930.43
OI0000355,O000153,P00474,2,582.49,0.07,698.98
OI0000356,O000153,P00680,1,31830.92,0.05,19737.05
OI0000357,O000154,P00317,3,579.22,0.09,1274.79
OI0000358,O000155,P00798,1,1609.56,0.02,1118.34
OI0000359,O000156,P00026,1,11273.74,0.04,10063.7
OI0000360,O000156,P00184,1,2431.25,0.06,1453.54
OI0000361,O000156,P00403,1,1506.04,0.1,1057.98
OI0000362,O000157,P00611,1,2850.93,0.02,2148.51
OI0000363,O000157,P00624,2,2389.24,0.0,3764.54
OI0000364,O000158,P00176,2,729.7,0.07,883.14
OI0000365,O000159,P00108,2,47960.26,0.12,87484.4
OI0000366,O000159,P00361,1,2161.72,0.05,1575.46
OI0000367,O000159,P00593,1,8901.05,0.01,7680.67
OI0000368,O000160,P00543,2,52628.97,0.0,66703.96
OI0000369,O000161,P00703,1,10287.0,0.05,7720.62
OI0000370,O000161,P00079,1,1774.27,0.05,1364.76
OI0000371,O000161,P00429,2,2805.34,0.07,3878.18
OI0000372,O000161,P00128,1,1665.03,0.05,1423.46
OI0000373,O000162,P00510,1,3287.17,0.0,2465.05
OI0000374,O000162,P00244,2,1512.1,0.08,2200.26
OI0000375,O000162,P00460,2,10793.42,0.01,13754.76
OI0000376,O000163,P00126,1,2630.81,0.04,1553.41
OI0000377,O000163,P00465,1,11197.79,0.05,8896.16
OI0000378,O000163,P00699,3,4621.12,0.03,11278.29
OI0000379,O000164,P00371,3,48303.74,0.11,108305.73
OI0000380,O000165,P00432,1,5005.64,0.05,3215.19
OI0000381,O000165,P00752,4,966.79,0.03,3105.16
OI0000382,O000165,P00040,1,12502.72,0.0,8198.63
OI0000383,O000166,P00033,2,10071.48,0.02,13709.46
OI0000384,O000167,P00116,2,2783.76,0.04,4866.7
OI0000385,O000167,P00398,3,907.31,0.11,2282.61
OI0000386,O000167,P00687,2,10736.7,0.0,12737.36
OI0000387,O000168,P00178,1,1926.72,0.11,1432.44
OI0000388,O000168,P00167,1,43266.39,0.0,29335.67
OI0000389,O000169,P00148,1,625.64,0.1,396.6
OI0000390,O000169,P00299,3,5172.44,0.08,9636.33
OI0000391,O000170,P00032,1,7558.41,0.0,5677.04
OI0000392,O000171,P00081,3,1150.24,0.13,2780.22
OI0000393,O000171,P00564,1,8938.35,0.18,8298.01
OI0000394,O000171,P00497,2,416.93,0.0,480.12
OI0000395,O000172,P00624,1,2293.67,0.04,1882.27
OI0000396,O000172,P00602,1,1354.85,0.01,885.02
OI0000397,O000172,P00251,2,5721.48,0.02,7647.76
OI0000398,O000173,P00414,1,3956.51,0.0,3187.44
OI0000399,O000174,P00402,1,2970.25,0.06,2292.55
OI0000400,O000174,P00698,2,8007.82,0.04,11747.26
OI0000401,O000175,P00318,1,5285.35,0.1,4254.68
OI0000402,O000176,P00282,2,3704.34,0.09,5384.52
OI0000403,O000176,P00019,1,12858.62,0.14,11013.77
OI0000404,O000177,P00615,1,1412.57,0.0,1023.26
OI0000405,O000177,P00364,2,53746.98,0.07,90249.8
OI0000406,O000178,P00590,3,42081.02,0.02,78130.86
OI0000407,O000179,P00574,1,12048.97,0.03,7493.58
OI0000408,O000180,P00271,2,23316.53,0.0,32035.94
OI0000409,O000180,P00327,1,2226.27,0.0,1258.14
OI0000410,O000180,P00159,1,1843.09,0.11,1532.37
OI0000411,O000181,P00330,1,1124.15,0.0,814.42
OI0000412,O000181,P00700,1,597.2,0.0,411.19
OI0000413,O000182,P00395,2,12979.24,0.07,20793.78
OI0000414,O000183,P00735,2,1669.3,0.04,2404.06
OI0000415,O000183,P00462,1,2869.13,0.1,2304.63
OI0000416,O000184,P00462,1,3060.4,0.04,2304.63
OI0000417,O000184,P00311,1,769.73,0.0,635.01
OI0000418,O000184,P00260,4,1858.05,0.1,6080.52
OI0000419,O000184,P00632,2,1451.01,0.05,1809.04
OI0000420,O000184,P00178,1,1991.66,0.08,1432.44
OI0000421,O000185,P00777,1,24643.5,0.2,23409.33
OI0000422,O000185,P00565,1,36634.91,0.0,30729.74
OI0000423,O000185,P00577,1,6065.57,0.17,5995.96
OI0000424,O000186,P00036,1,417.51,0.01,349.06
OI0000425,O000186,P00790,2,9330.91,0.05,12683.04
OI0000426,O000187,P00234,1,867.12,0.15,703.55
OI0000427,O000188,P00310,1,9251.06,0.02,7325.99
OI0000428,O000189,P00115,3,5897.93,0.08,14639.85
OI0000429,O000189,P00477,2,13744.37,0.08,20379.08
OI0000430,O000189,P00362,1,1583.17,0.01,1271.91
OI0000431,O000190,P00347,1,6228.3,0.03,5194.28
OI0000432,O000191,P00413,1,4346.57,0.09,4078.84
OI0000433,O000192,P00601,2,1234.96,0.04,1451.16
OI0000434,O000192,P00696,1,902.18,0.12,864.61
OI0000435,O000192,P00596,1,2822.45,0.1,2472.42
OI0000436,O000193,P00684,5,4965.78,0.0,16042.65
OI0000437,O000194,P00736,1,2699.54,0.05,1763.44
OI0000438,O000194,P00273,1,4932.07,0.0,4004.22
OI0000439,O000195,P00790,1,9036.25,0.08,6341.52
OI0000440,O000195,P00057,3,37734.37,0.05,71381.04
OI0000441,O000196,P00495,1,1914.03,0.0,1397.54
OI0000442,O000196,P00560,1,1274.39,0.05,838.15
OI0000443,O000196,P00230,1,7738.71,0.11,6743.48
OI0000444,O000196,P00529,5,32150.01,0.06,130037.3
OI0000445,O000197,P00394,1,7013.64,0.01,5520.67
OI0000446,O000197,P00133,1,4856.19,0.15,3930.43
OI0000447,O000197,P00006,2,4968.16,0.0,5568.92
OI0000448,O000197,P00051,1,1814.83,0.04,1298.95
OI0000449,O000198,P00166,3,3764.57,0.0,6634.77
OI0000450,O000198,P00539,2,1138.09,0.01,1301.96
OI0000451,O000198,P00374,1,1143.45,0.0,704.21
OI0000452,O000199,P00212,1,46880.86,0.06,42635.98
OI0000453,O000199,P00290,3,10153.7,0.0,17747.46
OI0000454,O000199,P00729,4,1925.68,0.0,6360.8
OI0000455,O000200,P00426,3,726.36,0.07,1890.57
OI0000456,O000200,P00100,1,1047.53,0.07,756.66
OI0000457,O000201,P00395,1,13956.17,0.0,10396.89
OI0000458,O000202,P00153,6,40921.13,0.0,212561.7
OI0000459,O000202,P00399,1,8135.74,0.0,6896.51
OI0000460,O000202,P00655,1,12012.56,0.0,7231.54
OI0000461,O000203,P00175,1,31543.83,0.18,28277.57
OI0000462,O000203,P00321,1,8043.31,0.0,4882.28
OI0000463,O000203,P00355,4,6392.09,0.07,19239.24
OI0000464,O000203,P00066,3,3006.07,0.07,6086.46
OI0000465,O000203,P00660,1,6239.38,0.12,5891.46
OI0000466,O000204,P00322,4,2403.99,0.13,8862.2
OI0000467,O000204,P00082,1,810.72,0.0,533.5
OI0000468,O000205,P00344,1,1516.1,0.17,1096.19
OI0000469,O000205,P00594,1,23674.68,0.11,23254.03
