payment_id,order_id,payment_method,payment_status,amount,shipping_fee
PAYSDWAT80Q,O000064,Net Banking,Paid,20831.67,0
PAYFEWLEG1N,O000065,UPI,Paid,3921.62,0
PAYENWIZ9AD,O000066,Credit Card,Paid,627.34,39
PAY5Y2PV7WY,O000067,UPI,Paid,10062.46,0
PAYQK3TGZI4,O000068,COD,Paid,51497.42,0
PAYFLSJNP2H,O000069,UPI,Paid,3492.57,0
PAYXSOQUC0V,O000070,UPI,Paid,6746.05,0
PAY4LLD2PZ2,O000071,Wallet,Paid,24027.73,0
PAYLX6EWKJE,O000072,Debit Card,Paid,70677.14,0
PAY8JN8UH2M,O000073,UPI,Paid,21341.53,0
PAYD7TZG35V,O000074,UPI,Paid,148424.09,0
PAY2A0JQ9Q7,O000075,Credit Card,Paid,34551.0,0
PAYFA5RQ8K9,O000076,COD,Paid,5562.37,0
PAY8Y27BRT8,O000077,Debit Card,Paid,147408.33,0
PAYID9SQMJN,O000078,UPI,Paid,3231.45,0
PAY6O6XY8DS,O000079,COD,Paid,9882.89,0
PAYS13VJUXE,O000080,Credit Card,Paid,3377.44,0
PAY06XE3N52,O000081,UPI,Paid,17277.84,0
PAYIID7RUTF,O000082,COD,Paid,19014.06,0
PAY966DQ5WB,O000083,Debit Card,Paid,1059.03,0
PAY276QYVII,O000084,Credit Card,Paid,18488.5,0
PAY1V3Y076X,O000085,Credit Card,Paid,5779.24,0
PAY6HJGNZCL,O000086,UPI,Paid,67409.88,0
PAYMCBUOE8T,O000087,UPI,Paid,3271.4,0
PAY4JKR3SX3,O000088,Debit Card,Paid,9027.66,0
PAYAI6PARQJ,O000089,UPI,Paid,188251.96,0
PAYW72PMNJ1,O000090,Wallet,Paid,1140.22,0
PAYYLMUITSU,O000091,Net Banking,Paid,37707.14,0
PAYLTAGAWPO,O000092,Debit Card,Paid,16476.43,0
PAYHZRXYWUE,O000093,COD,Paid,7500.4,0
PAYYREHKX6F,O000094,Debit Card,Paid,5735.36,0
PAYYK7WQIMO,O000095,Credit Card,Paid,17745.22,0
PAYWPNM7CXD,O000096,COD,Paid,3393.24,0
PAYWN2IEO7D,O000097,Credit Card,Paid,31192.41,0
PAY8WKDEF2M,O000098,COD,Paid,78646.38,0
PAYGLKEMHLW,O000099,COD,Paid,15686.22,0
PAYW4VDSSMG,O000100,Credit Card,Paid,3133.41,0
PAY1AWZVWOB,O000101,Credit Card,Refunded,7603.17,0
PAYRUJ1H1AD,O000102,COD,Paid,2257.44,0
PAYRGHSBMEK,O000103,UPI,Paid,9425.11,0
PAY1MQP8EIC,O000104,UPI,Paid,10828.96,0
PAYFARYULYW,O000105,COD,Paid,15560.53,0
PAYLZHCJOJZ,O000106,Credit Card,Paid,19573.5,0
PAY5K9IT5CV,O000107,Wallet,Paid,7752.42,0
PAYTZ4PB7Z9,O000108,Debit Card,Paid,40186.36,0
PAYJN375BMG,O000109,Net Banking,Refunded,11243.0,0
PAYUHQUSI3O,O000110,Debit Card,Paid,3550.75,0
PAYE9VU90ZC,O000111,Net Banking,Paid,3087.33,0
PAYQLUDKEZH,O000112,UPI,Paid,92715.65,0
PAY36XLBHWG,O000113,Credit Card,Paid,8735.75,0
PAY5742LO67,O000114,UPI,Paid,16855.26,0
PAYRU8DM0IB,O000115,Credit Card,Paid,551.65,49
PAYZZ0Q4Q49,O000116,UPI,Paid,24367.79,0
PAY6US5DSP6,O000117,Debit Card,Paid,16715.01,0
PAYW2W6PHK0,O000118,Credit Card,Paid,4672.88,0
PAYVX3GEHLE,O000119,UPI,Paid,6470.48,0
PAYK8D3JPWI,O000120,Credit Card,Paid,106419.54,0
PAYT780ICSH,O000121,Credit Card,Paid,24436.35,0
PAY89UHLY10,O000122,UPI,Paid,5592.88,0
PAYVR2BKQG7,O000123,COD,Paid,14183.75,0
PAY74695IA2,O000124,UPI,Paid,86186.78,0
PAY3O40A9Z1,O000125,UPI,Paid,3180.14,0
PAYXED6AWJ4,O000126,Debit Card,Paid,13302.54,0
PAYSCKSC63G,O000127,UPI,Paid,3568.59,0
PAYN3JKT1C6,O000128,COD,Paid,175.47,0
PAY209C3AW7,O000129,Wallet,Refunded,40855.9,0
PAY06N3CIHM,O000130,UPI,Paid,15114.17,0
PAY4V4JIE0X,O000131,Net Banking,Paid,9802.48,0
PAY2HZ4I6R8,O000132,Debit Card,Paid,6832.04,0
PAY1P04DV0U,O000133,UPI,Paid,18890.04,0
PAYP6FY6P0H,O000134,UPI,Paid,16540.31,0
PAYTZY5IK1B,O000135,UPI,Paid,97262.55,0
PAY5F83XAZ6,O000136,Debit Card,Paid,12166.64,0
PAY0WYYQNCF,O000137,UPI,Paid,46414.59,0
PAY06LHU9HN,O000138,Credit Card,Paid,71020.71,0
PAY0PJJHB0N,O000139,UPI,Paid,28477.91,0
PAYA7G8IVEY,O000140,UPI,Refunded,23013.43,0
PAYILN8NPA2,O000141,Credit Card,Paid,21770.16,0
PAY5BPLB01J,O000142,UPI,Paid,1939.61,0
PAY784KONLD,O000143,UPI,Paid,18786.73,0
PAYXFIB9SH2,O000144,Credit Card,Paid,15904.12,0
PAYUX6JKL9B,O000145,Net Banking,Paid,78125.36,0
PAYLXGWS5AZ,O000146,UPI,Pending,3401.88,0
PAY8YJ9AA9P,O000147,Debit Card,Paid,46173.4,0
PAY9URVI8PJ,O000148,Debit Card,Paid,6293.24,0
PAY6NK9F73U,O000149,Wallet,Paid,198.08,59
PAY3S2ZPR38,O000150,UPI,Paid,14474.15,0
PAYU4S7W8GM,O000151,Debit Card,Paid,1510.4,0
PAYE2X0L1YB,O000152,UPI,Paid,8803.04,0
PAYYQKCQT9B,O000153,UPI,Paid,38194.88,0
PAY0LQCJNIY,O000154,Credit Card,Paid,1737.66,0
PAYZJ3ZFAYG,O000155,UPI,Paid,1609.56,0
PAY9RXB814Z,O000156,UPI,Paid,15211.03,0
PAYR012X3NC,O000157,Wallet,Paid,7629.41,0
PAYZ2ZMIGFI,O000158,Debit Card,Paid,1459.4,0
PAYE5D6KO8Z,O000159,Net Banking,Paid,106983.29,0
PAYS8G6W3CJ,O000160,Credit Card,Paid,105257.94,0
PAYHTXX3ZCS,O000161,Debit Card,Paid,19336.98,0
PAY1OZFSRAZ,O000162,Debit Card,Paid,27898.21,0
PAYZXVKKZCO,O000163,Credit Card,Paid,27691.96,0
PAYIX0BFIPE,O000164,UPI,Paid,144911.22,0
PAYHFJ629PK,O000165,UPI,Paid,21375.52,0
PAY5RJJTD1M,O000166,Debit Card,Paid,20142.96,0
PAYWX318NC6,O000167,COD,Paid,29762.85,0
PAYFS87VEUE,O000168,Credit Card,Paid,45193.11,0
PAYDO8SDXAM,O000169,COD,Paid,16142.96,0
PAY7WICFMNL,O000170,Credit Card,Paid,7558.41,0
PAYVMVG191L,O000171,UPI,Paid,13222.93,0
PAYOAP1KFV4,O000172,Credit Card,Paid,15091.48,0
PAY4U3WO2Q6,O000173,UPI,Paid,3956.51,0
PAY6BZAD1ZW,O000174,Debit Card,Paid,18985.89,0
PAYAEHXIZIY,O000175,Credit Card,Refunded,5285.35,0
PAYZJHP4O2O,O000176,Credit Card,Paid,20267.3,0
PAYZ54CO8FL,O000177,Credit Card,Paid,108906.53,0
PAY67G86WFY,O000178,Wallet,Paid,126243.06,0
PAYTJU0ZB6N,O000179,COD,Paid,12048.97,0
PAYBQG5A8MB,O000180,UPI,Paid,50702.42,0
PAYQWC83O3N,O000181,Credit Card,Paid,1721.35,0
PAYYMZT0CN7,O000182,COD,Paid,25958.48,0
PAYWFZGINJX,O000183,Net Banking,Paid,6207.73,0
PAYXLZL8ZY8,O000184,Credit Card,Paid,16156.01,0
PAYB3JSO8LX,O000185,UPI,Paid,67343.98,0
PAY2U6YJZXY,O000186,UPI,Paid,19079.33,0
PAYVGSVHTXU,O000187,Net Banking,Paid,916.12,49
PAYSDZNZGBL,O000188,Wallet,Paid,9251.06,0
PAYQK6GKJFU,O000189,Credit Card,Paid,46765.7,0
PAY4DSGMCFO,O000190,Net Banking,Paid,6228.3,0
PAY98CXGPV5,O000191,UPI,Paid,4346.57,0
PAYEPYUPGEO,O000192,Credit Card,Paid,6194.55,0
PAYCMBZJC9A,O000193,Wallet,Paid,24828.9,0
PAYYL65PXWE,O000194,Wallet,Paid,7631.61,0
PAY7R4HNAQB,O000195,UPI,Paid,122239.36,0
PAY3FX8POK0,O000196,Debit Card,Paid,171677.18,0
PAYPNVJAZ2E,O000197,UPI,Paid,23620.98,0
PAYVEIL3EQ7,O000198,Debit Card,Paid,14713.34,0
PAYXX1W36CO,O000199,COD,Paid,85044.68,0
PAYENWH5JZ5,O000200,COD,Paid,3226.61,0
PAY54KAXKHI,O000201,UPI,Paid,13956.17,0
PAY5O54FXER,O000202,COD,Paid,265675.08,0
PAYL6FEHER4,O000203,Net Banking,Paid,80413.09,0
PAY5VGED9OL,O000204,Credit Card,Paid,10426.68,0
PAY1N76S20E,O000205,UPI,Paid,25382.52,0
PAYUPZ4SBSI,O000206,Debit Card,Paid,5913.59,0
PAY4WOBX7HL,O000207,UPI,Paid,4193.1,0
PAYRI0TT5IQ,O000208,Debit Card,Paid,5167.9,0
PAYNHVYWU7L,O000209,Net Banking,Paid,11154.77,0
PAY66I6GGJW,O000210,Debit Card,Paid,5807.48,0
PAYI94LAUSK,O000211,UPI,Paid,1063.25,0
PAYKHSALJ0X,O000212,COD,Paid,133848.72,0
PAYG9A2N1T9,O000213,Net Banking,Refunded,2470.38,0
PAY832YNVO8,O000214,Credit Card,Paid,3233.71,0
PAYMLF1BDSH,O000215,Credit Card,Paid,46207.11,0
PAYC98250AZ,O000216,Net Banking,Paid,5081.78,0
PAY7LLOMMW4,O000217,UPI,Paid,12874.79,0
PAYGH8P9LVE,O000218,Debit Card,Paid,11964.81,0
PAYWTFMSJBW,O000219,Debit Card,Paid,3490.1,0
PAY9YUMX00Y,O000220,UPI,Refunded,9125.36,0
PAYDKLY9XTB,O000221,Wallet,Paid,7607.02,0
PAY0Z6MU2OK,O000222,UPI,Paid,8444.08,0
PAYJLNTKPEZ,O000223,UPI,Paid,3468.94,0
PAYLTJVEBBY,O000224,Debit Card,Paid,31269.77,0
PAYNAFSYPQR,O000225,Net Banking,Paid,6849.63,0
PAY0VBUQIQM,O000226,UPI,Paid,3085.38,0
PAYN2WKIYV4,O000227,COD,Paid,37585.28,0
PAY9QDO3HG9,O000228,UPI,Pending,16642.8,0
PAY39UG5XTW,O000229,UPI,Paid,14104.02,0
PAYHXX3M19Q,O000230,Wallet,Paid,14062.26,0
PAYEMDC5L0F,O000231,Credit Card,Paid,734.15,39
PAYACHS6RQY,O000232,Credit Card,Paid,72505.63,0
PAYMWBV6IHD,O000233,Debit Card,Paid,83272.8,0
PAYGHO3YXTB,O000234,Credit Card,Paid,2342.22,0
PAYUQF5O1JL,O000235,UPI,Refunded,9528.08,0
PAYZNARA60A,O000236,COD,Paid,33552.49,0
PAYN0JR4Y6E,O000237,Credit Card,Paid,6495.76,0
PAYR0UZNO5M,O000238,Wallet,Paid,25316.1,0
PAYJWM1WUVW,O000239,COD,Paid,233.72,39
PAYKCY25DSR,O000240,Net Banking,Paid,38344.84,0
PAYYSWE7MDX,O000241,Net Banking,Pending,52588.58,0
PAYAUJ8NT5Z,O000242,Credit Card,Paid,8472.56,0
PAY1AP4B7QP,O000243,UPI,Refunded,14651.23,0
PAYIZJ8HB3Q,O000244,Debit Card,Paid,820.89,0
PAYGDFJX09T,O000245,Wallet,Paid,15831.9,0
PAYI8VK2SET,O000246,Credit Card,Paid,29831.46,0
PAYB95MG9D8,O000247,COD,Paid,14117.15,0
PAY0A78P5PM,O000248,Debit Card,Paid,16523.64,0
PAY1N3UXJ1N,O000249,Credit Card,Paid,19978.02,0
PAY5KTS5741,O000250,Net Banking,Paid,11906.53,0
PAYF92P2FAG,O000251,Credit Card,Paid,812.66,49
PAYT4CA8DQE,O000252,UPI,Paid,22281.23,0
PAY32VZOFV1,O000253,UPI,Paid,20609.59,0
PAY58DNBC1H,O000254,UPI,Paid,733.3,59
PAY84YCPM9O,O000255,Credit Card,Paid,7009.18,0
PAYTT0T1510,O000256,UPI,Paid,7997.49,0
PAYOA83Z725,O000257,Wallet,Paid,30653.22,0
PAY7HAYDVOE,O000258,Net Banking,Paid,11417.73,0
PAY3H2K7R2G,O000259,UPI,Paid,7227.24,0
PAYNKT7LEGV,O000260,UPI,Paid,7917.51,0
PAY9WADGI8Y,O000261,Net Banking,Paid,4859.71,0
PAYA7DUQI8U,O000262,UPI,Paid,14560.91,0
PAYUK5VPAX4,O000263,UPI,Paid,676.17,0
PAY467Q3VBJ,O000264,UPI,Paid,43039.94,0
PAYBN81SGBJ,O000265,Credit Card,Paid,596.98,0
PAY6YVW3W11,O000266,UPI,Paid,10112.07,0
PAYKFRV0HLX,O000267,Net Banking,Paid,8259.86,0
PAYDLS7HGH5,O000268,UPI,Paid,8481.71,0
PAYCVTN9SFO,O000269,Credit Card,Paid,33576.94,0
PAY8IPC5GDR,O000270,Net Banking,Paid,19266.66,0
PAYLEQTIM88,O000271,UPI,Paid,71371.38,0
PAY77XWKL2V,O000272,UPI,Paid,17178.4,0
PAYKSMHKD7T,O000273,UPI,Paid,7557.92,0
PAYSD3QCTPV,O000274,UPI,Paid,4836.28,0
PAYNBNAFN02,O000275,UPI,Refunded,1051.49,0
PAYKBQ44C9L,O000276,Net Banking,Paid,1133.12,0
PAYI03GDIJ6,O000277,Credit Card,Paid,42267.1,0
PAYVRUFFDZT,O000278,Debit Card,Paid,15767.76,0
PAYBQ56S1L2,O000279,Debit Card,Paid,3679.9,0
PAYWDWSYF2Q,O000280,COD,Paid,50554.67,0
PAY99427ITI,O000281,UPI,Paid,7312.58,0
PAYR3POPDOL,O000282,UPI,Paid,3506.34,0
PAYXCOMI955,O000283,UPI,Paid,21488.35,0
PAY1AXTO8D8,O000284,Credit Card,Paid,14004.9,0
PAYJYPAKXAS,O000285,COD,Paid,4313.72,0
PAYOG7Y2NE8,O000286,Credit Card,Paid,14002.43,0
PAYBQQGU407,O000287,UPI,Paid,34425.86,0
PAYTHYUAO2U,O000288,Net Banking,Paid,20393.72,0
PAYCCVNLDCK,O000289,Credit Card,Paid,7891.26,0
PAYY5KTQ4OH,O000290,Wallet,Paid,17784.15,0
PAYZ01ENA4P,O000291,Credit Card,Paid,8805.05,0
PAYDEOMBW6X,O000292,UPI,Paid,45159.18,0
PAYO5AVHUCI,O000293,Net Banking,Paid,68037.22,0
PAYLM1GWLED,O000294,Net Banking,Paid,9834.33,0
PAYNUDM0R9U,O000295,COD,Paid,28405.26,0
PAYDH4P9XM3,O000296,Credit Card,Paid,4564.28,0
PAY5V9C5WNT,O000297,UPI,Paid,17835.94,0
PAYJC3W8WDC,O000298,UPI,Paid,1018.51,0
PAYY03LT2KG,O000299,Credit Card,Paid,16933.74,0
PAY5EFY50T0,O000300,UPI,Paid,14750.18,0
PAYGDM5QXL8,O000301,Credit Card,Pending,11452.13,0
PAY6HDLZX5G,O000302,Debit Card,Paid,19459.33,0
PAY6JZ0GCQ8,O000303,UPI,Paid,17312.8,0
PAYX3L64VYV,O000304,Wallet,Paid,6172.1,0
PAYJ00YCWQI,O000305,UPI,Paid,9884.32,0
PAY1HVN0BHN,O000306,Credit Card,Pending,27412.78,0
PAYL9KHP6VC,O000307,Debit Card,Refunded,8383.15,0
PAYKY6KDJLH,O000308,Credit Card,Paid,39174.37,0
PAYR1ERDLI5,O000309,UPI,Paid,23951.46,0
PAYAGBP9GXV,O000310,COD,Paid,79480.78,0
PAYUNF6I7D1,O000311,UPI,Paid,59120.25,0
PAYNVP77HTS,O000312,Debit Card,Paid,34303.64,0
PAYB6ZX7QMH,O000313,UPI,Paid,5361.63,0
PAY224YL5DI,O000314,Debit Card,Paid,7266.99,0
PAYU321Z3WK,O000315,COD,Paid,20710.82,0
PAYWMS6FDGD,O000316,Wallet,Paid,7468.17,0
PAY9CBT3ZTM,O000317,UPI,Paid,15048.54,0
PAYBON24M3Z,O000318,Credit Card,Paid,6869.44,0
PAY5A0KM653,O000319,UPI,Paid,3928.74,0
PAYOOV3RLRA,O000320,UPI,Paid,2819.85,0
PAYRV0GK7JV,O000321,UPI,Paid,6786.11,0
PAYTP6UNBOK,O000322,Credit Card,Paid,19529.44,0
PAYYLUA6M7M,O000323,Debit Card,Paid,28661.08,0
PAY1P1MD97Z,O000324,COD,Paid,5347.91,0
PAYPSWIJLQ5,O000325,Debit Card,Paid,18050.44,0
PAY6XS6YC73,O000326,COD,Paid,63359.52,0
PAYIEKZ9L87,O000327,UPI,Paid,10250.76,0
PAY9DE6JSXD,O000328,Net Banking,Pending,11739.05,0
PAYF0WN6APO,O000329,UPI,Paid,13784.39,0
PAYMUU0F9CQ,O000330,UPI,Paid,4484.7,0
PAYJNO8TNVF,O000331,Debit Card,Paid,3500.93,0
PAYSWDZPZ2D,O000332,UPI,Paid,23530.14,0
PAYS95EEBRL,O000333,Credit Card,Paid,135983.17,0
PAYGTU4L0BY,O000334,COD,Paid,1222.08,0
PAY9IVTQ6UL,O000335,Credit Card,Paid,62880.82,0
PAYJFA7NEBR,O000336,UPI,Paid,13562.74,0
PAY49BMOI38,O000337,UPI,Paid,4007.28,0
PAYDYW9BVFP,O000338,COD,Paid,76162.67,0
PAYGSN11VRU,O000339,Credit Card,Paid,20909.02,0
PAYJ4SF3SDV,O000340,UPI,Paid,9964.66,0
PAYEF23NRS1,O000341,COD,Paid,3557.85,0
PAYWVPFG5D9,O000342,UPI,Pending,6320.18,0
PAY07WS3SBG,O000343,UPI,Paid,29348.78,0
PAYTSVLUOPF,O000344,UPI,Paid,10041.64,0
PAYK6M7WRRG,O000345,UPI,Paid,6762.72,0
PAYUQGTUMP1,O000346,Net Banking,Paid,59833.77,0
PAYLMCPMVIJ,O000347,Credit Card,Paid,7590.15,0
PAY9VVMFT5I,O000348,Wallet,Paid,61870.9,0
PAY599ILS71,O000349,Debit Card,Paid,6038.42,0
PAYNT3YUPDD,O000350,Wallet,Paid,9896.47,0
PAYKNC4PQLO,O000351,UPI,Paid,1021.52,59
PAYY5D5QN0K,O000352,UPI,Paid,5049.89,0
PAY3BQMN8I9,O000353,COD,Paid,63225.4,0
PAY5UJQXU3B,O000354,UPI,Paid,4766.38,0
PAYBLC4WA1B,O000355,COD,Paid,15879.88,0
PAYAR2ZSIN4,O000356,Debit Card,Paid,11600.44,0
PAYSCZLSR9G,O000357,Debit Card,Paid,19465.46,0
PAY36JO7IZC,O000358,Debit Card,Paid,3497.32,0
PAY9RPQIX31,O000359,UPI,Paid,7952.59,0
PAYDCS6WPBN,O000360,UPI,Paid,9104.9,0
PAYGZCW6J7O,O000361,Debit Card,Paid,363.73,39
PAYA8526ABC,O000362,UPI,Paid,5943.15,0
PAYBABTF7YG,O000363,Debit Card,Paid,4161.63,0
PAY8EV23U50,O000364,Wallet,Paid,12879.65,0
PAYVU2FFOWO,O000365,Net Banking,Refunded,8687.84,0
PAYZMLBW1ZV,O000366,Credit Card,Paid,13229.26,0
PAYKFMVEF8W,O000367,UPI,Paid,4514.14,0
PAY42A3685M,O000368,UPI,Paid,132414.1,0
PAYHN77S4H3,O000369,UPI,Paid,11230.01,0
PAYB2Q3LDP5,O000370,UPI,Paid,8667.13,0
PAYFKLULX3W,O000371,COD,Paid,3411.87,0
PAY6RCXXYP0,O000372,Wallet,Paid,24263.99,0
PAYRLTG4O4C,O000373,Credit Card,Paid,6612.55,0
PAY1Y7LBDK5,O000374,UPI,Paid,11279.92,0
PAYAKAD9XQV,O000375,COD,Refunded,240.85,49
PAYDWSPCE5S,O000376,UPI,Paid,51267.62,0
PAYVLBPDDV0,O000377,UPI,Pending,8699.31,0
PAY03KGYLEN,O000378,UPI,Paid,64055.04,0
PAYQWF3NWV6,O000379,Credit Card,Paid,8064.94,0
PAYXKJTAVLV,O000380,Wallet,Paid,549.54,0
PAYXS3X24U9,O000381,UPI,Paid,14333.42,0
PAYYP9SVZ9E,O000382,Debit Card,Paid,18614.8,0
PAY3ETSG8VI,O000383,UPI,Paid,7361.28,0
PAY399GNV0K,O000384,Debit Card,Refunded,1702.52,0
PAYHKVXAMLN,O000385,Credit Card,Pending,9182.24,0
PAYT5FXJUQ1,O000386,Debit Card,Paid,42261.76,0
PAY9U6R469F,O000387,UPI,Paid,7975.82,0
PAYRFFM97N5,O000388,Debit Card,Paid,28352.97,0
PAYQTC4EILU,O000389,Credit Card,Paid,5167.07,0
PAYF3H9S0HM,O000390,Credit Card,Paid,3287.26,0
PAYRI2XFLZK,O000391,Net Banking,Paid,3252.74,0
PAYXVC3JNMZ,O000392,UPI,Paid,12129.46,0
PAYITOTBBQL,O000393,UPI,Paid,11600.11,0
PAYEGQCSPD7,O000394,Debit Card,Paid,13154.27,0
PAYXAH6IX4R,O000395,UPI,Paid,3544.35,0
PAY8QGOEW2T,O000396,UPI,Paid,14135.85,0
PAY5Z96P1BY,O000397,UPI,Paid,653.13,39
PAY6VKXNMT3,O000398,COD,Paid,1990.63,0
PAYC1WQ8G4B,O000399,Credit Card,Paid,19584.05,0
PAYUESR9EYY,O000400,Net Banking,Paid,3308.6,0
PAYIAVPTS12,O000401,UPI,Paid,10279.07,0
PAYTVVDG7EO,O000402,UPI,Refunded,11064.78,0
PAYG9TQFQH4,O000403,Debit Card,Paid,502.15,0
PAYYNH2E809,O000404,UPI,Paid,46354.13,0
PAY8I9K5B3A,O000405,Credit Card,Paid,1022.26,0
PAYK33MUH4Z,O000406,Net Banking,Paid,41055.34,0
PAYMH43NV5X,O000407,Net Banking,Paid,870.08,59
PAY6UM60XPQ,O000408,COD,Paid,11938.8,0
PAYD4D7X5GY,O000409,UPI,Paid,133129.68,0
PAYQBCH1DVU,O000410,Credit Card,Paid,45086.36,0
PAYGFHYZ3K8,O000411,Credit Card,Paid,2327.3,0
PAYXL78FPYA,O000412,UPI,Paid,10365.36,0
PAY4QTP87OK,O000413,UPI,Paid,1532.49,0
PAYY16BRIXY,O000414,Credit Card,Paid,74746.04,0
PAYWZ6DTVLD,O000415,UPI,Paid,1748.51,0
PAY008AJHCD,O000416,UPI,Paid,1828.46,0
PAYF6MQ886K,O000417,Debit Card,Paid,14131.04,0
PAYORNLAQXU,O000418,Debit Card,Paid,1967.18,0
PAYIEJFLAT0,O000419,Net Banking,Paid,6965.13,0
PAY9CLUJY44,O000420,UPI,Paid,14790.03,0
PAY6YP8NJGK,O000421,Debit Card,Paid,6915.57,0
PAYFFSAIFAU,O000422,Credit Card,Paid,15437.93,0
PAYXZ8KU3QP,O000423,UPI,Paid,11208.68,0
PAY3WQ371FD,O000424,Debit Card,Paid,6023.76,0
PAYTQ5DYV49,O000425,UPI,Paid,3814.71,0
PAY9FS8P935,O000426,Credit Card,Paid,12694.2,0
PAYXI9XC3UT,O000427,COD,Paid,5341.86,0
PAY36WDPCSU,O000428,Credit Card,Paid,43304.04,0
PAYFIZMEMBY,O000429,Debit Card,Paid,20933.85,0
PAYV6OPB37J,O000430,Credit Card,Paid,9712.74,0
PAYXTGR84ZP,O000431,UPI,Paid,206.0,49
PAYB1DP6O7E,O000432,Credit Card,Paid,29456.67,0
PAY0C07JNQV,O000433,COD,Paid,38354.98,0
PAY55Y5I4DF,O000434,COD,Paid,2056.14,0
PAYA2RN9JJD,O000435,UPI,Paid,80902.13,0
PAYLDEL77XD,O000436,Debit Card,Paid,24636.1,0
PAYX0JYD1CS,O000437,UPI,Paid,34475.17,0
PAYQL6GW0Z6,O000438,Debit Card,Paid,11121.31,0
PAY9IZXWR5R,O000439,COD,Paid,14484.04,0
PAYFENK6CNG,O000440,Credit Card,Paid,32320.21,0
