customer_id,region,state,city,gender,age_bracket,signup_source,first_order_date
C00025,West,Delhi,Pune,Prefer not to say,55-64,Referral,2024-05-16
C00026,South,Tamil Nadu,Lucknow,Male,55-64,Email,2025-02-02
C00027,Central,Haryana,Coimbatore,Other,35-44,Email,2024-11-05
C00028,West,Haryana,Surat,Prefer not to say,18-24,Organic,2024-01-03
C00029,South,Gujarat,Jaipur,Prefer not to say,18-24,Organic,2025-03-20
C00030,North,Maharashtra,Mumbai,Male,25-34,Organic,2025-01-27
C00031,West,Kerala,Ahmedabad,Female,45-54,Organic,2024-07-08
C00032,Central,West Bengal,Chandigarh,Prefer not to say,25-34,Paid Search,2024-03-25
C00033,Central,Uttar Pradesh,Lucknow,Female,18-24,Referral,2025-06-02
C00034,Central,Kerala,New Delhi,Other,18-24,Offline,2024-04-10
C00035,North,Punjab,Kochi,Other,45-54,Organic,2025-02-27
C00036,West,West Bengal,Ahmedabad,Female,18-24,Referral,2024-07-23
C00037,Central,Haryana,Lucknow,Male,35-44,Social,
C00038,East,Uttar Pradesh,New Delhi,Male,45-54,Organic,2024-02-13
C00039,South,Tamil Nadu,Gurugram,Female,25-34,Organic,2024-04-02
C00040,West,Madhya Pradesh,Kochi,Female,45-54,Social,2024-02-19
C00041,East,Maharashtra,Gurugram,Male,25-34,Organic,2024-01-30
C00042,Central,Karnataka,Jaipur,Female,25-34,Organic,2024-06-11
C00043,North,Maharashtra,Pune,Male,35-44,Social,2024-01-08
C00044,Central,Tamil Nadu,Pune,Male,55-64,Paid Search,2024-02-21
C00045,Central,Telangana,Mysuru,Prefer not to say,18-24,Social,2024-03-22
C00046,South,Delhi,Coimbatore,Other,45-54,Paid Search,2024-04-15
C00047,West,West Bengal,Gurugram,Prefer not to say,45-54,Paid Search,2024-03-17
C00048,South,Maharashtra,Jaipur,Female,35-44,Paid Search,2024-12-03
C00049,Central,Gujarat,Bengaluru,Male,18-24,Organic,2024-10-14
C00050,North,Madhya Pradesh,Jaipur,Female,18-24,Social,2025-01-05
C00051,South,Haryana,Mumbai,Female,25-34,Paid Search,
C00052,East,Odisha,Mumbai,Female,55-64,Organic,2024-10-11
C00053,East,Uttar Pradesh,Jaipur,Prefer not to say,25-34,Social,2024-04-03
C00054,South,Delhi,Coimbatore,Prefer not to say,25-34,Organic,2024-10-26
C00055,West,Delhi,Pune,Male,25-34,Organic,
C00056,West,Maharashtra,New Delhi,Other,55-64,Referral,2024-10-16
C00057,West,West Bengal,Patna,Female,35-44,Referral,2024-12-15
C00058,North,Kerala,New Delhi,Prefer not to say,45-54,Organic,2024-06-30
C00059,North,Haryana,Kochi,Male,55-64,Paid Search,2024-09-04
C00060,Central,Delhi,Kolkata,Prefer not to say,45-54,Email,2024-02-09
C00061,South,Tamil Nadu,Patna,Other,25-34,Organic,2024-01-01
C00062,North,Rajasthan,Jaipur,Prefer not to say,25-34,Paid Search,
C00063,North,Punjab,Coimbatore,Female,45-54,Referral,2024-02-27
C00064,North,Kerala,Coimbatore,Female,18-24,Paid Search,2024-03-15
C00065,South,Odisha,Jaipur,Prefer not to say,25-34,Organic,2024-06-22
C00066,South,Rajasthan,Pune,Prefer not to say,18-24,Organic,2024-01-26
C00067,South,Odisha,Mumbai,Prefer not to say,55-64,Organic,2024-12-04
C00068,East,Karnataka,Chandigarh,Prefer not to say,35-44,Social,
C00069,Central,Telangana,Patna,Prefer not to say,25-34,Offline,2024-11-20
C00070,East,Tamil Nadu,Kolkata,Male,55-64,Organic,2024-10-10
C00071,Central,Karnataka,Surat,Female,25-34,Organic,2024-04-13
C00072,North,Haryana,Kochi,Female,25-34,Organic,2024-03-30
C00073,Central,Madhya Pradesh,Pune,Male,35-44,Paid Search,2025-03-03
C00074,North,Karnataka,Mysuru,Male,18-24,Organic,2025-06-11
C00075,North,Maharashtra,Vadodara,Male,55-64,Organic,
C00076,Central,West Bengal,New Delhi,Male,18-24,Paid Search,2024-09-27
C00077,North,Madhya Pradesh,Vadodara,Female,65+,Organic,
C00078,Central,West Bengal,Surat,Other,35-44,Social,2024-07-14
C00079,South,Odisha,Lucknow,Other,25-34,Social,2024-03-14
C00080,West,Delhi,Lucknow,Male,25-34,Social,2025-05-11
C00081,West,Kerala,Indore,Other,35-44,Paid Search,2024-04-17
C00082,North,Odisha,Chennai,Prefer not to say,18-24,Referral,
C00083,North,Madhya Pradesh,Surat,Female,25-34,Organic,2024-02-12
C00084,Central,Uttar Pradesh,Kolkata,Other,18-24,Paid Search,2024-02-20
C00085,North,Tamil Nadu,Gurugram,Male,35-44,Organic,2024-01-04
C00086,South,Gujarat,Indore,Prefer not to say,35-44,Organic,2025-04-09
C00087,East,Bihar,Coimbatore,Female,35-44,Organic,2024-02-14
C00088,East,Kerala,Coimbatore,Female,35-44,Paid Search,2024-03-08
C00089,East,Odisha,Hyderabad,Female,55-64,Organic,2024-04-10
C00090,Central,Odisha,New Delhi,Male,25-34,Organic,2024-01-21
C00091,Central,Telangana,Indore,Male,55-64,Referral,2024-03-07
C00092,South,Haryana,Kochi,Other,25-34,Social,2024-03-18
C00093,East,Uttar Pradesh,Pune,Female,45-54,Paid Search,2024-05-11
C00094,East,Maharashtra,Patna,Female,35-44,Organic,2024-11-11
C00095,South,Karnataka,Kochi,Other,18-24,Email,2024-09-10
C00096,Central,Tamil Nadu,Bhubaneswar,Prefer not to say,55-64,Social,
C00097,North,Uttar Pradesh,Bengaluru,Female,25-34,Organic,2024-09-20
C00098,Central,Odisha,Hyderabad,Female,35-44,Email,2024-01-12
C00099,Central,Bihar,Gurugram,Male,55-64,Referral,
C00100,North,West Bengal,Hyderabad,Other,35-44,Organic,2024-11-16
C00101,East,Gujarat,Mumbai,Male,18-24,Email,2024-01-08
C00102,North,Kerala,Jaipur,Other,35-44,Organic,2025-01-04
C00103,West,Punjab,Coimbatore,Male,18-24,Social,2025-07-13
C00104,South,Odisha,Jaipur,Male,18-24,Organic,2024-05-14
C00105,North,Odisha,Patna,Male,35-44,Social,2024-08-14
C00106,West,Haryana,Kochi,Male,35-44,Organic,2024-03-14
C00107,North,Telangana,Ahmedabad,Prefer not to say,35-44,Organic,2024-06-17
C00108,West,Bihar,Mumbai,Male,25-34,Social,2024-10-17
C00109,East,Delhi,Bhubaneswar,Other,35-44,Referral,2024-03-23
C00110,South,Bihar,Jaipur,Female,35-44,Paid Search,2024-05-15
C00111,West,Kerala,Kolkata,Other,18-24,Organic,2024-04-19
C00112,East,Telangana,Chennai,Other,25-34,Organic,2025-06-04
C00113,West,Kerala,Mysuru,Other,65+,Paid Search,2024-04-25
C00114,East,Karnataka,New Delhi,Male,55-64,Social,2024-02-05
C00115,North,Madhya Pradesh,Lucknow,Female,45-54,Paid Search,2024-05-11
C00116,East,Madhya Pradesh,Patna,Other,35-44,Paid Search,2024-01-03
C00117,Central,West Bengal,Vadodara,Female,25-34,Social,2024-02-10
C00118,South,West Bengal,Surat,Other,25-34,Organic,2024-09-02
C00119,North,Karnataka,Patna,Male,35-44,Organic,2024-10-09
C00120,North,Gujarat,Patna,Other,55-64,Email,
C00121,North,Madhya Pradesh,Kochi,Other,55-64,Organic,2024-04-06
C00122,West,Uttar Pradesh,Indore,Other,18-24,Email,2024-07-21
C00123,Central,West Bengal,Indore,Male,25-34,Email,2024-04-22
C00124,West,Delhi,Patna,Male,55-64,Referral,
C00125,East,Madhya Pradesh,Surat,Prefer not to say,25-34,Paid Search,2024-03-17
C00126,East,Uttar Pradesh,Bengaluru,Other,45-54,Organic,2025-01-19
C00127,Central,Delhi,Patna,Other,18-24,Paid Search,2024-02-28
C00128,West,Rajasthan,Bhubaneswar,Male,55-64,Social,
C00129,South,Uttar Pradesh,Pune,Female,35-44,Organic,2024-07-07
C00130,Central,Telangana,Mysuru,Other,35-44,Offline,2024-03-08
C00131,East,Maharashtra,Jaipur,Male,18-24,Paid Search,2024-02-16
C00132,South,Punjab,Kolkata,Female,45-54,Social,2024-04-18
C00133,West,Karnataka,Jaipur,Female,35-44,Social,2025-02-28
C00134,Central,Rajasthan,Patna,Male,25-34,Organic,2025-03-15
C00135,West,Haryana,Chandigarh,Prefer not to say,45-54,Referral,2025-08-05
C00136,North,Delhi,Hyderabad,Female,45-54,Email,2024-08-13
C00137,South,Punjab,Patna,Male,35-44,Paid Search,2024-01-12
C00138,West,Punjab,Mysuru,Female,45-54,Social,
C00139,North,Uttar Pradesh,Jaipur,Prefer not to say,35-44,Referral,2024-03-10
C00140,Central,Tamil Nadu,Bhubaneswar,Other,55-64,Organic,2024-02-10
C00141,Central,Punjab,Bhubaneswar,Prefer not to say,25-34,Organic,2024-01-07
C00142,West,Bihar,Coimbatore,Male,35-44,Organic,2025-04-27
C00143,West,Haryana,Pune,Other,25-34,Paid Search,2024-05-12
C00144,East,Punjab,Jaipur,Prefer not to say,25-34,Paid Search,2024-01-14
C00145,East,Kerala,Jaipur,Prefer not to say,18-24,Organic,2024-11-09
C00146,South,Maharashtra,Indore,Other,45-54,Organic,2024-10-26
C00147,Central,Gujarat,Kochi,Female,18-24,Paid Search,2024-03-17
C00148,South,Tamil Nadu,Hyderabad,Prefer not to say,45-54,Organic,2024-05-06
C00149,South,Haryana,Hyderabad,Female,35-44,Organic,2024-09-02
C00150,East,West Bengal,Patna,Prefer not to say,18-24,Paid Search,2024-04-07
C00151,South,West Bengal,Mumbai,Prefer not to say,35-44,Social,2024-01-22
C00152,North,West Bengal,Surat,Prefer not to say,35-44,Offline,
C00153,East,Rajasthan,Bengaluru,Other,35-44,Organic,2024-09-07
C00154,West,Punjab,Chandigarh,Male,45-54,Organic,
C00155,East,Rajasthan,Jaipur,Prefer not to say,25-34,Organic,2024-04-16
C00156,West,Rajasthan,Bengaluru,Other,18-24,Email,2024-10-12
C00157,South,Kerala,Chandigarh,Prefer not to say,45-54,Social,2024-02-20
C00158,Central,Odisha,Hyderabad,Female,25-34,Organic,2024-08-30
C00159,Central,Odisha,Chandigarh,Female,18-24,Organic,2024-06-29
C00160,South,Maharashtra,Patna,Prefer not to say,35-44,Social,2025-01-25
C00161,East,Tamil Nadu,Mumbai,Prefer not to say,35-44,Organic,2024-02-28
C00162,West,Gujarat,Kolkata,Other,55-64,Social,2024-02-22
C00163,East,Gujarat,Chandigarh,Prefer not to say,35-44,Social,2024-07-23
C00164,West,Telangana,Chennai,Female,25-34,Organic,2025-02-15
C00165,North,Haryana,Coimbatore,Other,25-34,Social,2024-03-26
C00166,North,Delhi,Chennai,Female,18-24,Organic,
C00167,North,Delhi,Kolkata,Male,18-24,Organic,2024-02-04
C00168,West,Delhi,Hyderabad,Female,45-54,Social,2024-08-02
C00169,West,Madhya Pradesh,Kolkata,Other,25-34,Organic,2024-09-02
C00170,South,Punjab,Gurugram,Female,25-34,Paid Search,2024-07-18
C00171,East,Punjab,Ahmedabad,Female,18-24,Paid Search,
C00172,East,Madhya Pradesh,Bengaluru,Prefer not to say,25-34,Social,2024-07-01
C00173,North,West Bengal,Kolkata,Male,35-44,Organic,2024-06-26
C00174,Central,Maharashtra,Indore,Female,25-34,Social,2024-02-11
C00175,North,Punjab,Surat,Other,35-44,Referral,2024-07-21
C00176,East,Uttar Pradesh,Patna,Female,35-44,Organic,2024-03-22
C00177,North,Uttar Pradesh,Kochi,Prefer not to say,18-24,Social,2024-07-31
C00178,North,Bihar,Pune,Prefer not to say,18-24,Paid Search,2025-03-04
C00179,South,Gujarat,Bhubaneswar,Prefer not to say,55-64,Paid Search,
C00180,East,Tamil Nadu,Mysuru,Prefer not to say,25-34,Social,2024-11-25
C00181,Central,Rajasthan,Patna,Other,25-34,Paid Search,2025-04-29
C00182,North,Gujarat,Jaipur,Other,55-64,Paid Search,2024-02-21
C00183,South,Odisha,Bhubaneswar,Prefer not to say,55-64,Email,2024-02-13
C00184,West,Madhya Pradesh,Vadodara,Other,25-34,Organic,2024-02-25
C00185,East,Karnataka,Pune,Male,18-24,Organic,2024-03-18
C00186,East,Rajasthan,Kolkata,Other,18-24,Social,2024-09-27
C00187,Central,Gujarat,Lucknow,Other,18-24,Organic,2024-06-03
C00188,Central,Uttar Pradesh,Bengaluru,Male,45-54,Organic,2024-08-19
C00189,West,Maharashtra,Jaipur,Prefer not to say,45-54,Organic,2024-02-03
C00190,West,Uttar Pradesh,Jaipur,Prefer not to say,18-24,Social,2024-03-23
C00191,North,Rajasthan,Bengaluru,Other,35-44,Referral,
C00192,South,Delhi,Chandigarh,Other,35-44,Referral,2024-03-27
C00193,East,Kerala,Surat,Prefer not to say,25-34,Organic,2024-02-05
C00194,East,Uttar Pradesh,Mysuru,Prefer not to say,45-54,Referral,2024-02-03
C00195,East,Haryana,Coimbatore,Other,65+,Paid Search,2024-03-02
C00196,East,Haryana,Bhubaneswar,Other,25-34,Referral,2024-09-07
C00197,North,Telangana,Jaipur,Male,25-34,Email,
C00198,Central,Gujarat,New Delhi,Male,45-54,Paid Search,2024-01-01
C00199,West,Delhi,Kolkata,Other,45-54,Social,2024-10-06
C00200,Central,Haryana,Surat,Other,18-24,Email,2024-03-16
C00201,East,Maharashtra,Kolkata,Male,35-44,Referral,2024-12-14
C00202,East,Gujarat,Ahmedabad,Female,25-34,Email,2024-07-04
C00203,South,Haryana,Coimbatore,Other,25-34,Organic,2024-09-18
C00204,Central,Karnataka,Mumbai,Other,55-64,Organic,2024-09-14
C00205,West,Haryana,Hyderabad,Female,25-34,Email,2024-03-27
C00206,Central,Bihar,Bengaluru,Other,55-64,Paid Search,
C00207,West,Rajasthan,Pune,Other,35-44,Paid Search,2024-11-27
C00208,East,Tamil Nadu,Mumbai,Prefer not to say,25-34,Organic,
C00209,West,Maharashtra,Chennai,Prefer not to say,35-44,Social,2025-03-08
C00210,North,Maharashtra,Surat,Male,45-54,Referral,2024-02-12
C00211,East,Tamil Nadu,Surat,Female,18-24,Paid Search,2024-02-19
C00212,Central,Delhi,New Delhi,Prefer not to say,18-24,Paid Search,2024-04-20
C00213,Central,Madhya Pradesh,Vadodara,Male,25-34,Referral,2025-02-05
C00214,West,Punjab,Mysuru,Prefer not to say,25-34,Organic,2024-07-26
C00215,East,Odisha,Bhubaneswar,Prefer not to say,18-24,Social,2024-02-25
C00216,Central,Telangana,Surat,Female,35-44,Organic,2024-02-12
C00217,South,Madhya Pradesh,New Delhi,Male,18-24,Social,2024-07-30
C00218,South,Telangana,Chennai,Male,18-24,Referral,2024-01-21
C00219,North,Tamil Nadu,Coimbatore,Male,35-44,Organic,2024-03-05
C00220,West,Karnataka,Patna,Prefer not to say,18-24,Offline,2024-07-04
C00221,South,Telangana,Mumbai,Other,25-34,Organic,2024-08-06
C00222,West,Haryana,Indore,Female,45-54,Email,2024-04-30
C00223,East,Kerala,Jaipur,Male,65+,Social,2024-05-20
C00224,Central,West Bengal,New Delhi,Male,25-34,Organic,2024-12-06
C00225,East,Kerala,Hyderabad,Male,45-54,Paid Search,2024-02-06
C00226,South,Maharashtra,Mumbai,Other,25-34,Email,2024-07-11
C00227,East,Madhya Pradesh,Surat,Prefer not to say,18-24,Paid Search,2024-02-04
C00228,East,Maharashtra,Bhubaneswar,Prefer not to say,18-24,Paid Search,2024-02-27
C00229,Central,Telangana,Mysuru,Prefer not to say,18-24,Organic,2024-01-06
C00230,Central,Rajasthan,Chennai,Female,18-24,Social,2024-12-05
C00231,East,Odisha,Patna,Other,45-54,Paid Search,2024-08-24
C00232,South,Karnataka,Chennai,Female,55-64,Organic,2025-02-03
C00233,Central,Punjab,Lucknow,Female,25-34,Referral,2024-03-31
C00234,West,Punjab,Ahmedabad,Prefer not to say,25-34,Email,2024-07-01
C00235,South,Odisha,Lucknow,Prefer not to say,18-24,Email,2024-11-07
C00236,North,Kerala,Pune,Prefer not to say,18-24,Email,2024-02-16
C00237,East,Gujarat,Patna,Other,35-44,Offline,2024-06-19
C00238,South,Kerala,New Delhi,Other,18-24,Paid Search,2024-02-20
C00239,East,West Bengal,Pune,Prefer not to say,55-64,Paid Search,2024-10-31
C00240,North,Bihar,Coimbatore,Prefer not to say,35-44,Social,2024-11-10
C00241,East,Maharashtra,Kochi,Other,25-34,Social,2024-03-01
C00242,Central,Maharashtra,Chandigarh,Female,35-44,Email,2024-03-07
C00243,West,Kerala,Coimbatore,Prefer not to say,18-24,Organic,2024-04-09
C00244,Central,Karnataka,Kolkata,Other,55-64,Email,2024-09-03
C00245,West,Madhya Pradesh,Pune,Female,25-34,Social,2024-04-11
C00246,Central,Delhi,Lucknow,Male,25-34,Organic,2024-12-17
C00247,West,Odisha,Indore,Prefer not to say,25-34,Organic,2024-04-09
C00248,Central,Maharashtra,Bengaluru,Male,35-44,Organic,2024-10-08
C00249,East,Haryana,Ahmedabad,Female,65+,Offline,2024-01-21
C00250,North,Uttar Pradesh,Patna,Male,35-44,Paid Search,2025-03-08
C00251,West,Bihar,New Delhi,Female,25-34,Referral,2024-11-15
C00252,West,Kerala,Hyderabad,Other,35-44,Organic,2024-07-20
C00253,West,Uttar Pradesh,Lucknow,Prefer not to say,55-64,Referral,
C00254,West,Rajasthan,Jaipur,Male,55-64,Social,2024-08-13
C00255,Central,West Bengal,Kolkata,Male,35-44,Paid Search,2025-06-30
C00256,East,Bihar,Chennai,Prefer not to say,55-64,Referral,2024-04-29
C00257,East,Gujarat,Mysuru,Female,18-24,Organic,2024-07-05
C00258,Central,Telangana,Indore,Prefer not to say,25-34,Referral,2024-07-17
C00259,West,Bihar,Hyderabad,Prefer not to say,65+,Organic,2025-06-13
C00260,Central,Gujarat,Kochi,Prefer not to say,35-44,Paid Search,2024-02-27
C00261,South,Rajasthan,Kochi,Male,55-64,Referral,2024-08-14
C00262,South,Madhya Pradesh,Chandigarh,Prefer not to say,45-54,Paid Search,2024-03-14
C00263,West,Karnataka,Kochi,Prefer not to say,25-34,Organic,2024-02-16
C00264,West,West Bengal,Hyderabad,Female,18-24,Referral,2024-09-27
C00265,Central,Tamil Nadu,Mysuru,Other,45-54,Offline,
C00266,West,Bihar,New Delhi,Female,65+,Paid Search,2024-01-07
C00267,North,Uttar Pradesh,Bhubaneswar,Male,45-54,Email,2024-03-27
C00268,North,West Bengal,Hyderabad,Prefer not to say,45-54,Organic,2024-04-13
C00269,East,Punjab,Lucknow,Prefer not to say,25-34,Organic,2024-04-14
C00270,East,Kerala,Chennai,Prefer not to say,55-64,Social,2024-05-24
C00271,Central,Gujarat,Pune,Female,25-34,Social,
C00272,South,Madhya Pradesh,Chennai,Other,35-44,Organic,2024-06-12
C00273,West,Delhi,Chennai,Female,18-24,Social,2024-04-09
C00274,West,Punjab,New Delhi,Male,35-44,Referral,2024-05-18
C00275,North,Haryana,Indore,Female,35-44,Referral,2025-04-13
C00276,East,Gujarat,Mumbai,Other,35-44,Paid Search,
C00277,South,Gujarat,Patna,Male,45-54,Paid Search,2025-01-07
C00278,Central,Uttar Pradesh,Patna,Male,18-24,Organic,2024-04-05
C00279,North,Tamil Nadu,Ahmedabad,Prefer not to say,45-54,Social,2024-05-05
C00280,West,Madhya Pradesh,Jaipur,Male,35-44,Organic,2024-09-08
C00281,East,Delhi,Bhubaneswar,Prefer not to say,18-24,Organic,
C00282,West,Telangana,Bengaluru,Other,25-34,Paid Search,2024-08-01
C00283,South,Kerala,Coimbatore,Female,25-34,Paid Search,2024-02-03
C00284,Central,Rajasthan,Gurugram,Other,55-64,Organic,2024-09-10
C00285,East,Kerala,Patna,Prefer not to say,35-44,Referral,
C00286,South,Bihar,Indore,Prefer not to say,25-34,Social,
C00287,North,Bihar,Pune,Male,45-54,Email,
C00288,East,West Bengal,Surat,Other,18-24,Email,2024-09-08
C00289,North,Haryana,Indore,Prefer not to say,25-34,Organic,2024-02-05
C00290,Central,Telangana,Bengaluru,Female,25-34,Offline,2024-01-31
C00291,West,Odisha,Vadodara,Other,25-34,Organic,2024-04-05
C00292,Central,Punjab,Jaipur,Other,35-44,Organic,2024-11-27
C00293,Central,Delhi,Kolkata,Other,18-24,Organic,2024-07-21
C00294,North,Kerala,Hyderabad,Female,18-24,Organic,2024-01-02
C00295,North,Telangana,Bhubaneswar,Other,18-24,Social,2024-02-26
C00296,North,Haryana,Hyderabad,Other,25-34,Organic,2024-10-03
C00297,South,Gujarat,Patna,Male,55-64,Paid Search,2024-02-29
C00298,East,Tamil Nadu,Coimbatore,Other,35-44,Organic,2025-01-02
C00299,East,Bihar,Ahmedabad,Prefer not to say,25-34,Organic,2024-12-24
C00300,East,Punjab,Indore,Female,18-24,Organic,2024-01-14
C00301,South,Rajasthan,Chennai,Male,18-24,Organic,2024-03-08
C00302,Central,Bihar,Chandigarh,Other,18-24,Paid Search,2024-10-18
C00303,North,Maharashtra,Chandigarh,Other,25-34,Organic,2024-03-08
C00304,West,Uttar Pradesh,New Delhi,Other,35-44,Social,2024-12-11
C00305,Central,Kerala,Lucknow,Prefer not to say,18-24,Referral,2024-10-09
C00306,North,Bihar,Gurugram,Male,35-44,Organic,2025-06-15
C00307,Central,Rajasthan,Bengaluru,Other,45-54,Email,2024-07-16
C00308,South,Odisha,Vadodara,Female,18-24,Organic,2025-03-31
C00309,East,Kerala,Bhubaneswar,Prefer not to say,45-54,Social,2024-05-21
C00310,North,Maharashtra,Hyderabad,Female,25-34,Organic,2024-10-12
C00311,North,Telangana,Pune,Female,25-34,Paid Search,
C00312,South,Delhi,Coimbatore,Prefer not to say,35-44,Organic,2024-09-28
C00313,Central,Rajasthan,Gurugram,Prefer not to say,25-34,Social,2025-04-01
C00314,West,Madhya Pradesh,Hyderabad,Female,18-24,Organic,2024-07-15
C00315,Central,Bihar,Pune,Prefer not to say,35-44,Email,2024-06-01
C00316,East,Telangana,Mumbai,Male,35-44,Paid Search,2024-01-18
C00317,South,Rajasthan,Bhubaneswar,Other,18-24,Paid Search,2024-08-27
C00318,Central,Maharashtra,Gurugram,Other,35-44,Organic,2024-04-11
C00319,East,Karnataka,Chandigarh,Male,25-34,Organic,2024-03-15
C00320,North,Maharashtra,Bhubaneswar,Male,18-24,Organic,2024-04-23
C00321,North,Kerala,Vadodara,Female,25-34,Organic,2024-02-07
C00322,South,Punjab,Kochi,Male,18-24,Email,2024-07-03
C00323,South,Punjab,Surat,Female,35-44,Social,2024-01-12
C00324,South,Bihar,Coimbatore,Male,45-54,Paid Search,2024-11-24
C00325,East,Bihar,Jaipur,Male,18-24,Paid Search,2024-01-21
C00326,North,Punjab,Vadodara,Other,35-44,Social,2024-03-29
C00327,South,Bihar,Hyderabad,Other,25-34,Organic,2024-05-20
C00328,North,Punjab,Ahmedabad,Female,25-34,Organic,2025-03-08
C00329,East,Tamil Nadu,Bengaluru,Male,35-44,Paid Search,2025-04-14
C00330,North,Madhya Pradesh,Kochi,Male,25-34,Offline,
C00331,South,Telangana,Mumbai,Prefer not to say,35-44,Organic,2024-06-05
C00332,North,Uttar Pradesh,New Delhi,Prefer not to say,18-24,Organic,2025-05-08
C00333,Central,Rajasthan,Gurugram,Female,25-34,Organic,2024-01-04
C00334,South,Rajasthan,Mysuru,Female,25-34,Organic,2024-03-06
C00335,East,Haryana,Mysuru,Prefer not to say,18-24,Email,2024-07-19
C00336,North,Kerala,Bengaluru,Prefer not to say,18-24,Paid Search,2024-11-21
C00337,West,Bihar,Chandigarh,Female,25-34,Offline,2025-04-12
C00338,North,Rajasthan,Bhubaneswar,Female,18-24,Paid Search,2024-01-28
C00339,South,Gujarat,Vadodara,Female,55-64,Referral,2024-01-31
C00340,Central,Tamil Nadu,Lucknow,Other,45-54,Organic,2025-07-18
C00341,Central,West Bengal,Vadodara,Other,18-24,Social,2024-01-18
C00342,Central,Rajasthan,Mysuru,Prefer not to say,55-64,Paid Search,2024-08-26
C00343,Central,Maharashtra,New Delhi,Male,35-44,Organic,2024-04-15
C00344,South,West Bengal,Bhubaneswar,Prefer not to say,45-54,Organic,2024-02-07
C00345,West,Gujarat,Bhubaneswar,Prefer not to say,25-34,Paid Search,2024-02-28
C00346,East,Haryana,New Delhi,Prefer not to say,35-44,Organic,2024-04-03
C00347,East,Gujarat,Lucknow,Male,18-24,Social,2024-05-29
C00348,North,Kerala,Pune,Female,25-34,Paid Search,2024-01-03
C00349,North,Bihar,Chennai,Prefer not to say,18-24,Paid Search,2024-09-10
C00350,South,Maharashtra,Gurugram,Female,35-44,Organic,
C00351,Central,Madhya Pradesh,Coimbatore,Other,25-34,Organic,2024-03-13
C00352,West,Kerala,New Delhi,Other,18-24,Offline,2024-04-14
C00353,North,Bihar,Patna,Other,25-34,Referral,2024-02-13
C00354,East,Madhya Pradesh,Indore,Female,25-34,Social,2024-05-03
C00355,South,Madhya Pradesh,Mysuru,Male,45-54,Paid Search,2024-07-04
C00356,South,Kerala,Pune,Female,25-34,Paid Search,2024-06-09
C00357,East,Gujarat,Coimbatore,Female,25-34,Email,2024-01-01
C00358,Central,Punjab,Lucknow,Male,45-54,Email,2025-05-09
C00359,Central,Punjab,Patna,Female,18-24,Social,2025-05-27
C00360,North,Madhya Pradesh,Lucknow,Male,55-64,Organic,2024-04-10
C00361,East,Telangana,Indore,Other,18-24,Social,2024-03-17
C00362,South,Karnataka,Ahmedabad,Prefer not to say,35-44,Referral,2024-04-15
C00363,North,Maharashtra,Hyderabad,Female,18-24,Referral,2024-05-06
C00364,South,Haryana,Mysuru,Prefer not to say,25-34,Organic,2024-06-05
C00365,East,West Bengal,Bhubaneswar,Male,18-24,Referral,2024-03-10
C00366,East,Gujarat,Indore,Female,35-44,Paid Search,
C00367,South,Odisha,Mumbai,Male,25-34,Referral,2024-07-06
C00368,North,Punjab,Vadodara,Female,25-34,Referral,2024-07-08
C00369,West,Telangana,Bhubaneswar,Prefer not to say,25-34,Organic,2025-01-02
C00370,West,Madhya Pradesh,Bhubaneswar,Other,25-34,Organic,2024-06-20
C00371,North,Delhi,Mysuru,Other,45-54,Paid Search,2024-03-02
