campaign_id,channel,campaign_name,start_date,end_date,spend
CAM0089,Affiliate,Affiliate-2025-06,2025-06-08,2025-06-25,5331.98
CAM0090,Display,Display-2025-06,2025-06-03,2025-06-25,8214.43
CAM0091,Search,Search-2025-07,2025-07-04,2025-07-23,9622.25
CAM0092,Social,Social-2025-07,2025-07-04,2025-07-27,14406.91
CAM0093,Email,Email-2025-07,2025-07-07,2025-07-21,1535.7
CAM0094,Affiliate,Affiliate-2025-07,2025-07-06,2025-07-21,4247.77
CAM0095,Display,Display-2025-07,2025-07-10,2025-07-31,11779.55
CAM0096,Search,Search-2025-08,2025-08-07,2025-08-26,4782.72
CAM0097,Social,Social-2025-08,2025-08-06,2025-08-19,11163.12
CAM0098,Email,Email-2025-08,2025-08-06,2025-08-24,8315.63
CAM0099,Affiliate,Affiliate-2025-08,2025-08-07,2025-08-18,3983.72
CAM0100,Display,Display-2025-08,2025-08-05,2025-08-20,10951.18
