session_id,customer_id,session_start,source,medium,campaign_id,device,pages_viewed,duration_seconds,bounced
SESSZWFAIS5M9H,,2025-03-21,Organic,SEO,CAM0051,Desktop,11,163,0
SESSUQQB9GDCD6,,2025-01-22,Referral,Referral,,Tablet,4,566,0
SESS2W176TDQ5C,C07237,2024-03-26,Social,Social,CAM0042,Tablet,1,264,1
SESSCYUMTNLZ83,C07571,2024-08-14,Paid Search,CPC,CAM0076,Mobile,4,242,0
SESSKIPQ04H4RJ,C05704,2025-08-15,Paid Search,CPC,,Mobile,1,336,1
SESSDVJ8YL6F7O,C07948,2024-07-02,Organic,SEO,,Mobile,1,294,1
SESSX8M9B4PA39,,2024-11-17,Paid Search,CPC,,Mobile,1,261,1
SESST2KXYRAVH0,C07683,2024-11-13,Social,Social,,Mobile,2,208,0
SESSZQPLWAOSTK,,2025-07-19,Organic,SEO,CAM0041,Desktop,5,52,0
SESSWNAQU24YHM,C01192,2025-02-02,Organic,SEO,CAM0011,Mobile,1,178,1
SESSLE6CXEQ1SL,,2024-10-19,Affiliate,Affiliate,CAM0049,Mobile,1,57,1
SESSOYKEOLHS7Z,,2024-10-19,Organic,SEO,CAM0016,Tablet,4,304,0
SESSM2DBCDBP08,,2025-04-29,Paid Search,CPC,,Desktop,1,168,1
SESSJ2TN0R81CN,C02219,2025-03-22,Direct,Direct,,Tablet,2,293,0
SESSFL4KVAMHXQ,C00593,2025-02-15,Paid Search,CPC,,Mobile,1,107,1
SESS5KNPDJ0D57,,2025-05-22,Social,Social,,Mobile,2,40,0
SESSX1WHILBUVD,C05377,2024-08-31,Organic,SEO,,Mobile,1,275,1
SESSKUZG8Z7O8G,,2025-02-23,Paid Search,CPC,CAM0046,Mobile,10,32,0
SESS3U3B7PD8ZZ,C05873,2024-06-02,Direct,Direct,,Tablet,2,384,0
SESSN9WS4K40BX,C03858,2025-02-27,Organic,SEO,,Mobile,11,276,0
SESSVYOIFZHRTN,C03136,2024-09-29,Paid Search,CPC,CAM0046,Desktop,2,145,0
SESSR16IUDRU11,,2025-06-03,Social,Social,CAM0012,Desktop,1,102,1
SESSWP2YRCXOZC,C03635,2024-05-07,Direct,Direct,,Mobile,11,67,0
SESSCLK2NFUP45,,2025-01-07,Organic,SEO,CAM0041,Mobile,1,132,1
SESSHQJT970JWK,C07833,2025-07-21,Display,Display,,Desktop,2,303,0
SESSU35QE2R8DE,,2024-06-07,Affiliate,Affiliate,,Desktop,1,204,1
SESSHNRP1WVPQL,,2025-07-24,Organic,SEO,,Mobile,5,216,0
SESS6YGUJM623N,C04463,2025-07-23,Paid Search,CPC,CAM0081,Mobile,8,202,0
SESS3P6UVGXGFL,C07817,2024-06-24,Organic,SEO,CAM0021,Desktop,1,5,1
SESS27EWP2Q45M,,2024-07-29,Organic,SEO,,Mobile,1,284,1
SESSQ9K1GA79VO,C07924,2025-03-22,Social,Social,CAM0037,Mobile,11,46,0
SESSJJYV3UD6PV,C03836,2025-08-08,Social,Social,CAM0012,Mobile,2,172,0
SESS0Q66DXUSVL,,2024-06-15,Organic,SEO,CAM0091,Mobile,10,429,0
SESSE9YYLRXCU9,C05885,2025-04-04,Social,Social,CAM0047,Desktop,4,235,0
SESSP0SPG7QNS3,C02711,2024-12-22,Referral,Referral,,Tablet,8,24,0
SESS0SDPQ53YMH,C04025,2024-10-30,Social,Social,,Mobile,4,223,0
SESSLK27FIHRX3,,2024-08-20,Organic,SEO,,Mobile,1,254,1
SESSZ5XEHILFKS,,2024-11-22,Organic,SEO,CAM0016,Desktop,5,136,0
SESS5X9MRL1UJB,C00383,2024-06-30,Social,Social,,Mobile,2,40,0
SESSEOSAPLFI95,,2024-11-29,Social,Social,,Desktop,1,362,1
SESSDN6P2UZDJK,C07204,2024-01-29,Direct,Direct,,Desktop,7,224,0
SESS7D3A4NRSAW,C01320,2024-04-02,Organic,SEO,,Mobile,12,88,0
SESSJFYAP3EZSQ,C01872,2024-11-25,Paid Search,CPC,,Mobile,5,187,0
SESSM7B43I3YJB,,2024-07-02,Paid Search,CPC,CAM0076,Desktop,1,140,1
SESSUTH915LE93,,2024-04-04,Direct,Direct,,Mobile,1,144,1
SESS6X9I8YS1ML,,2024-12-18,Direct,Direct,,Mobile,1,161,1
SESSVC7K90C9NI,,2024-09-21,Affiliate,Affiliate,CAM0094,Desktop,8,160,0
SESS4VZRUPZCZD,C07881,2024-01-19,Email,Email,,Mobile,3,71,0
SESSYZUNEINW28,C00361,2025-05-13,Paid Search,CPC,CAM0071,Desktop,1,182,1
SESSEQ6T9RXDYG,C02039,2024-05-18,Display,Display,,Tablet,1,76,1
SESS9ZVRX3UEZ9,C05604,2025-07-26,Organic,SEO,,Mobile,2,196,0
SESS5QC1RG8UFS,,2025-06-08,Organic,SEO,CAM0021,Desktop,3,181,0
SESS2Z1T9RGWYJ,,2024-09-11,Organic,SEO,,Desktop,5,311,0
SESSFEYLF0CSW2,,2024-03-25,Paid Search,CPC,,Mobile,5,285,0
SESSQIVS2XDP7B,C07984,2025-04-02,Direct,Direct,,Mobile,1,173,1
SESS89AASCM8UI,,2025-06-15,Paid Search,CPC,CAM0001,Mobile,7,151,0
SESSCM9S944K51,C06489,2025-07-15,Direct,Direct,,Mobile,1,375,1
SESSB3LK6J85KK,C01168,2024-04-01,Direct,Direct,,Mobile,2,183,0
SESSQ1AVX952AN,C04572,2024-03-09,Direct,Direct,,Desktop,1,223,1
SESS0B81EZJ6VS,C03850,2024-02-06,Organic,SEO,CAM0096,Tablet,1,255,1
SESSJJ98M79MRW,C00554,2024-05-19,Paid Search,CPC,,Mobile,3,111,0
SESSVRYJ0IRFXW,C01181,2025-07-19,Direct,Direct,,Mobile,3,5,1
SESSC8MGTCQZG4,C04529,2024-06-26,Organic,SEO,,Desktop,2,6,1
SESS7ZYUY6UTG4,C05570,2024-05-16,Referral,Referral,,Mobile,3,101,0
SESSFR2KVI54V7,,2024-07-08,Direct,Direct,,Tablet,5,94,0
SESSB2KOT1CETU,,2024-12-07,Organic,SEO,,Mobile,5,114,0
SESS3H7PTN1JXL,,2025-07-12,Organic,SEO,CAM0026,Desktop,5,84,0
SESSSFFF9LR4PL,,2024-01-05,Organic,SEO,CAM0026,Mobile,1,205,1
SESS63DJWNCXO0,C05870,2024-09-13,Referral,Referral,,Mobile,5,168,0
SESSDUDKCOXXQH,,2024-08-30,Organic,SEO,CAM0076,Desktop,5,5,1
SESSF2F7C56XS2,C00685,2025-02-18,Social,Social,,Mobile,2,345,0
SESS5205PRX3JN,,2024-12-08,Organic,SEO,,Mobile,2,31,0
SESSL4GY0U8L7W,,2025-01-13,Paid Search,CPC,,Desktop,1,30,1
SESSFALWCH2SZK,,2024-05-25,Organic,SEO,CAM0021,Mobile,8,357,0
SESSJW58J9J6YC,C02626,2024-11-18,Social,Social,,Mobile,3,131,0
SESSP24B14BO7I,C05088,2024-05-01,Paid Search,CPC,CAM0051,Desktop,3,179,0
SESS3P2P9RFLLJ,,2024-09-08,Social,Social,,Tablet,6,319,0
SESSCJYC37SMQQ,C05622,2024-11-06,Paid Search,CPC,CAM0006,Mobile,2,209,0
SESS8U8855CX96,C02610,2025-04-19,Referral,Referral,,Mobile,2,5,1
SESSO0XV4OPCJ4,C01150,2025-07-23,Direct,Direct,,Mobile,1,141,1
SESSNJU6EJ50RU,,2025-05-06,Referral,Referral,,Mobile,4,395,0
SESSROYCSG9NTC,C00114,2025-07-28,Organic,SEO,,Mobile,2,34,0
SESS1QC4WH55K0,C07586,2024-12-12,Organic,SEO,CAM0091,Desktop,11,5,1
SESSF25XTLI682,,2025-05-01,Paid Search,CPC,,Mobile,7,340,0
SESSBFTVCQITIT,C05318,2025-04-17,Referral,Referral,,Mobile,1,214,1
SESSSCYVDNV5G7,C06264,2025-01-16,Organic,SEO,CAM0071,Desktop,5,221,0
SESSW0WY3GV6FY,C02099,2024-10-06,Organic,SEO,,Mobile,4,534,0
SESSU3GEW2V9WU,,2024-03-12,Direct,Direct,,Desktop,7,331,0
SESSMURGCC28HF,C01041,2025-06-04,Paid Search,CPC,,Mobile,15,111,0
SESSA78G7KYTD1,,2024-12-31,Social,Social,,Mobile,2,278,0
SESSKTIGGX2S76,,2024-04-03,Social,Social,,Desktop,5,44,0
SESSPNA9K9YCC6,C04586,2025-01-07,Paid Search,CPC,,Mobile,7,265,0
SESS3E6Z4CABEK,,2024-12-04,Direct,Direct,,Mobile,3,205,0
SESSSCG119S377,C07328,2025-03-12,Referral,Referral,,Mobile,1,147,1
SESSFDG6B7KT7R,,2024-12-01,Email,Email,CAM0023,Mobile,1,19,1
SESSSJ9EQD5EUK,C02695,2025-05-06,Organic,SEO,CAM0041,Desktop,5,294,0
SESSUKYXTA7B1M,C06250,2024-02-09,Paid Search,CPC,,Mobile,15,414,0
SESSZ5XQZHP5J0,,2024-12-24,Organic,SEO,CAM0091,Mobile,1,217,1
SESSS0DTLI5SKO,C07565,2025-07-27,Email,Email,CAM0078,Mobile,8,150,0
SESSDGN5TMU5OB,,2024-09-10,Paid Search,CPC,CAM0046,Mobile,24,334,0
SESS3S9FO1IY5T,C06935,2025-08-03,Email,Email,,Mobile,1,286,1
SESSW9SOHFUP8R,C03231,2025-02-01,Organic,SEO,,Mobile,1,11,1
SESSU518AUT59O,C06169,2024-06-18,Organic,SEO,CAM0006,Desktop,1,272,1
SESSKY0SHEB9AG,C06748,2025-05-25,Email,Email,,Mobile,2,240,0
SESSN8W2CPG3BM,,2024-09-16,Affiliate,Affiliate,,Desktop,1,35,1
SESSFLATJMF6P1,,2025-08-06,Direct,Direct,,Mobile,13,82,0
SESS0GEKU6LM0C,,2025-04-03,Organic,SEO,CAM0006,Desktop,1,144,1
SESS97EU3O29N1,C00813,2025-06-12,Organic,SEO,,Mobile,1,261,1
SESSTE8L6YF6QK,,2024-12-06,Direct,Direct,,Desktop,1,127,1
SESSFK73TXL3BI,C01330,2024-02-26,Social,Social,CAM0027,Mobile,3,164,0
SESSTXFAF2YIVK,,2024-08-05,Referral,Referral,,Desktop,4,81,0
SESS5QVVMDRYTK,C00582,2025-04-08,Organic,SEO,,Desktop,1,111,1
SESSV6Z6FERDHV,,2024-09-03,Organic,SEO,CAM0036,Mobile,11,289,0
SESSFPNSIRAOVZ,,2025-01-07,Direct,Direct,,Desktop,9,161,0
SESSW25PNT3ZGP,,2025-02-20,Organic,SEO,,Desktop,20,183,0
SESSA8QRI7PXHI,C04416,2024-01-31,Paid Search,CPC,,Mobile,2,248,0
SESSYS0R02MWFE,,2025-01-02,Paid Search,CPC,CAM0026,Desktop,1,103,1
SESSKRE3NTUXDV,C05696,2025-07-12,Social,Social,,Mobile,4,310,0
SESSZRB4WCPNMU,C04970,2024-04-17,Organic,SEO,,Desktop,1,26,1
SESSJ6QBJ8BNFO,C05564,2025-08-06,Referral,Referral,,Mobile,2,8,1
SESSB66J4LKX33,,2025-02-21,Paid Search,CPC,,Mobile,1,196,1
SESSUIQ4NJ2M35,,2025-02-01,Organic,SEO,CAM0096,Mobile,3,181,0
SESS8T9KFVXVIW,,2024-09-28,Organic,SEO,,Mobile,11,130,0
SESS1HUGITW3L2,C07153,2024-04-25,Display,Display,,Mobile,2,354,0
SESS97INJRQZNH,,2025-08-08,Social,Social,,Tablet,1,229,1
SESS568GEC7GGP,,2024-09-12,Paid Search,CPC,CAM0071,Mobile,1,277,1
SESSB9767JWX4R,,2024-03-21,Referral,Referral,,Tablet,1,19,1
SESSR8E7IZNP98,C05953,2024-05-07,Direct,Direct,,Mobile,1,291,1
SESSKRNSLVVI8O,C07565,2024-08-22,Organic,SEO,,Mobile,3,299,0
SESSHITBCI8RFG,,2025-07-06,Organic,SEO,CAM0026,Mobile,1,392,1
SESSTHQDZ682TX,C06446,2024-06-29,Display,Display,,Mobile,1,328,1
SESSTUGISVJH8L,,2024-06-05,Social,Social,CAM0002,Mobile,1,81,1
SESSC2M8JC3B8A,C00937,2025-03-29,Paid Search,CPC,CAM0086,Desktop,1,127,1
SESS904XQ5BJBO,C06507,2025-07-24,Affiliate,Affiliate,,Desktop,1,5,1
SESS32QL9PK180,,2024-01-24,Paid Search,CPC,,Desktop,1,410,1
SESS7GKQQ1VF80,C07018,2025-04-17,Direct,Direct,,Mobile,1,362,1
SESSAAHCIDXHV8,,2025-02-03,Social,Social,CAM0002,Mobile,10,317,0
SESSLGPIIEBCBG,C05477,2025-08-14,Social,Social,,Mobile,4,303,0
SESSKXSJ0OIHZN,,2024-05-13,Social,Social,,Mobile,1,65,1
SESSXMRLT8NUXZ,C00367,2025-02-24,Organic,SEO,,Mobile,1,5,1
SESSLO9BFRDN5E,,2024-07-31,Referral,Referral,,Mobile,2,232,0
SESSL11ZKSM5KL,C06183,2025-04-26,Email,Email,CAM0048,Mobile,10,139,0
SESSDNOVZ6U4GG,C00257,2024-12-13,Paid Search,CPC,,Desktop,1,275,1
SESSIFTVEVH518,,2024-06-14,Paid Search,CPC,,Desktop,4,129,0
SESSMO3Z86THUQ,C02085,2024-12-13,Organic,SEO,,Desktop,10,289,0
SESSM5VT8QG6OT,C01518,2025-02-01,Direct,Direct,,Desktop,3,244,0
SESSK0QEM9OHSY,,2025-08-05,Direct,Direct,,Desktop,7,5,1
SESSH89RNNA7Y4,,2025-03-10,Direct,Direct,,Tablet,4,213,0
SESS2BPEU2EOY4,,2025-07-30,Direct,Direct,,Mobile,1,151,1
SESSC79YFUHW2P,,2024-08-08,Organic,SEO,CAM0056,Mobile,2,103,0
SESSMR63LSBSUZ,,2024-11-03,Organic,SEO,CAM0001,Tablet,1,322,1
SESSKCXUNAWK4M,C05506,2025-04-10,Organic,SEO,,Mobile,2,74,0
SESSV9BN6F9OCP,,2024-04-08,Social,Social,,Desktop,3,278,0
SESSJIDJODQV2S,,2024-08-29,Paid Search,CPC,CAM0001,Mobile,5,148,0
SESS9JY6S0P577,,2024-06-06,Organic,SEO,,Desktop,1,48,1
SESSQRDKM9TTSM,C01627,2025-07-07,Organic,SEO,,Mobile,1,57,1
SESSYO3TI2TIP8,C05482,2024-08-14,Organic,SEO,,Desktop,5,224,0
SESS4TYGY7PT65,C03237,2025-02-26,Organic,SEO,CAM0056,Desktop,2,152,0
SESSKCV2OEKJNJ,,2024-03-12,Affiliate,Affiliate,,Mobile,7,67,0
SESSVBJX4ZIK89,,2024-08-30,Direct,Direct,,Mobile,4,107,0
SESSGE38UACJ8V,,2025-06-13,Organic,SEO,CAM0086,Mobile,4,52,0
SESS5PT1OY3GB0,C04199,2025-08-11,Paid Search,CPC,CAM0026,Mobile,1,232,1
SESSLWV07W64EN,,2024-02-14,Social,Social,,Mobile,1,5,1
SESSYLGP7L1Z1T,,2025-04-16,Affiliate,Affiliate,,Desktop,4,149,0
SESSDN3G23IHUL,C03892,2025-01-05,Organic,SEO,CAM0006,Tablet,1,5,1
SESS6SQ83MQQ0V,C01502,2024-04-01,Organic,SEO,CAM0046,Mobile,8,352,0
SESS53H7OV7Q9T,C00183,2024-01-22,Paid Search,CPC,,Mobile,10,178,0
SESSRA2SXTJSLE,C01183,2024-06-20,Referral,Referral,,Mobile,4,395,0
SESSEOQ1JUOREK,,2024-07-10,Organic,SEO,CAM0051,Mobile,1,119,1
SESSE3OPPVQW2L,C04273,2024-03-17,Organic,SEO,,Desktop,8,39,0
SESSO6UV09J7YR,C03143,2024-10-07,Organic,SEO,,Tablet,1,266,1
SESSHNFE4W65PA,C07859,2024-12-29,Paid Search,CPC,CAM0006,Mobile,2,6,1
SESSD0ODGT5HNZ,C03082,2024-06-27,Paid Search,CPC,,Desktop,1,61,1
SESSAAF3P96RSK,,2024-08-25,Referral,Referral,,Mobile,4,130,0
SESS6JF5SBYWZ1,C07339,2024-05-14,Affiliate,Affiliate,,Mobile,2,9,1
SESSDW0SFM0M3K,C06056,2024-10-06,Paid Search,CPC,,Mobile,13,234,0
SESSC7T0PID8YW,,2024-01-19,Referral,Referral,,Tablet,1,59,1
SESS2JXWV8KT4U,,2025-01-05,Organic,SEO,CAM0026,Desktop,1,451,1
SESSP416MXBB7I,,2024-04-21,Paid Search,CPC,,Tablet,22,399,0
SESSELBR1S1KX7,C01398,2024-08-08,Referral,Referral,,Mobile,1,118,1
SESSY8VH9O2VO4,C02142,2024-10-30,Paid Search,CPC,CAM0001,Mobile,4,176,0
SESSWYVRT3QK2J,C00855,2024-11-20,Organic,SEO,CAM0096,Mobile,2,89,0
SESS1Z06N68F2N,,2025-03-12,Organic,SEO,CAM0071,Desktop,1,272,1
SESSCDB3LHJDV6,,2025-03-13,Paid Search,CPC,CAM0056,Mobile,4,333,0
SESSOJPG4W8ETP,C03206,2024-06-18,Referral,Referral,,Mobile,1,21,1
SESS6LJ27PD21A,,2025-01-09,Direct,Direct,,Desktop,5,285,0
SESSOQORLMET9L,,2025-07-10,Organic,SEO,,Mobile,2,144,0
SESS896XXVC1XW,,2025-01-15,Paid Search,CPC,,Desktop,4,245,0
SESSC47ZJJHZBE,,2024-01-14,Referral,Referral,,Mobile,4,165,0
SESSMXXH2P9P1I,C02312,2025-05-14,Social,Social,CAM0027,Mobile,6,221,0
SESS803NFFOUPC,C02720,2025-01-25,Organic,SEO,,Mobile,2,84,0
SESSXLSJWPVO7Z,,2025-07-02,Referral,Referral,,Desktop,1,381,1
SESSTB18AZU7HG,,2025-07-18,Email,Email,,Mobile,3,150,0
SESSNQRZY2WNK7,,2025-06-13,Paid Search,CPC,,Desktop,8,144,0
SESSMQM02NDMSU,C03937,2025-05-06,Organic,SEO,,Desktop,1,280,1
SESSYJQOPPKYF8,C02388,2025-07-03,Paid Search,CPC,,Desktop,7,47,0
SESSPQ2RTIWXB5,,2025-01-19,Display,Display,,Mobile,9,173,0
SESSXBGI1XW9FW,,2024-07-14,Referral,Referral,,Desktop,1,158,1
SESSVHEVUIT3FK,,2024-10-26,Direct,Direct,,Mobile,1,213,1
SESSKTSTQF7VGY,C05506,2025-06-30,Organic,SEO,CAM0061,Mobile,2,69,0
SESSCJLCY0SQH1,,2024-11-03,Email,Email,CAM0053,Mobile,1,287,1
SESSRHXIXY52JM,,2024-09-08,Paid Search,CPC,CAM0011,Mobile,20,142,0
SESSW8RSTZRD91,C02964,2024-01-08,Email,Email,,Mobile,1,286,1
SESS1YNLC9RYIL,,2024-07-26,Social,Social,CAM0037,Desktop,3,255,0
SESSDLYLB2PONO,C07771,2024-05-10,Referral,Referral,,Tablet,7,259,0
SESSKR90FL9OV8,,2024-01-26,Organic,SEO,,Desktop,3,306,0
SESSWGIBNSJ0RF,,2025-03-29,Direct,Direct,,Mobile,3,5,1
SESSJDW40TJAEK,C04299,2024-07-04,Organic,SEO,CAM0081,Desktop,9,88,0
SESS7V395G63RA,,2025-04-28,Organic,SEO,CAM0041,Mobile,3,273,0
SESSPZK3ZUSVY3,C02752,2024-02-20,Social,Social,CAM0022,Mobile,6,96,0
SESSGH9XV89EMT,,2024-01-05,Social,Social,,Mobile,4,134,0
SESSDT63W6KRNN,,2025-08-11,Paid Search,CPC,,Desktop,1,241,1
SESSXOV7FJSVOI,,2024-06-08,Organic,SEO,,Desktop,4,132,0
SESSXO0PCLQQC3,,2024-07-26,Organic,SEO,CAM0066,Mobile,6,102,0
SESSYQNCSE7JUO,,2024-09-13,Organic,SEO,CAM0036,Desktop,7,39,0
SESSG5DCP4CE39,,2024-07-23,Organic,SEO,,Tablet,1,658,1
SESSE8P3Z23R9U,,2024-01-11,Social,Social,,Desktop,1,203,1
SESS5SWP4HNGB2,,2024-01-08,Paid Search,CPC,,Desktop,2,111,0
SESS0BZSL849AX,,2025-02-12,Affiliate,Affiliate,CAM0089,Mobile,1,277,1
SESS5BZJZ3D0G0,,2024-02-01,Organic,SEO,,Mobile,1,130,1
SESSRCMYD9I23S,,2025-06-23,Organic,SEO,,Mobile,12,230,0
SESS2NIOX4K3FD,C01089,2025-01-21,Social,Social,,Mobile,1,304,1
SESSMVJUJSC118,,2024-08-15,Referral,Referral,,Mobile,1,74,1
SESSA1IBH88769,C01768,2025-04-19,Organic,SEO,CAM0056,Mobile,9,280,0
SESS0T875K9W1P,C05665,2024-07-25,Email,Email,,Mobile,14,208,0
SESS3HIA7OGKVB,,2024-11-13,Paid Search,CPC,,Mobile,4,108,0
SESSFBGE8SBUWR,,2025-07-10,Direct,Direct,,Desktop,1,186,1
SESSP10FWJLQUN,,2024-12-13,Affiliate,Affiliate,,Desktop,8,249,0
SESSNTOBXM4LUF,,2024-08-21,Organic,SEO,CAM0091,Mobile,6,238,0
SESS6TRWLW6S5T,C02183,2024-02-13,Social,Social,CAM0062,Desktop,7,296,0
SESSV5Z4COWTQP,C05317,2024-05-21,Email,Email,CAM0078,Tablet,3,180,0
SESS6YNXJD0TVO,,2024-06-24,Referral,Referral,,Mobile,1,149,1
SESSEULODWX83S,C01268,2025-03-24,Paid Search,CPC,,Tablet,1,5,1
SESSVFY8KJAQMA,,2025-08-14,Affiliate,Affiliate,,Tablet,10,209,0
SESS8T9PTTW46M,,2024-03-22,Direct,Direct,,Mobile,1,39,1
SESS7ROQ20YT6V,C02509,2024-05-14,Paid Search,CPC,CAM0026,Desktop,2,166,0
SESSFYQ8U5E3S8,,2024-06-25,Organic,SEO,CAM0061,Tablet,3,292,0
SESSW382CETRLD,C00229,2025-01-17,Paid Search,CPC,CAM0011,Mobile,5,291,0
SESSHOV8TKRWJR,C02584,2024-08-30,Paid Search,CPC,,Desktop,8,376,0
SESSA14W4LD2AL,,2025-07-20,Organic,SEO,,Desktop,1,339,1
SESS54QZ9MRP3V,,2024-05-20,Affiliate,Affiliate,,Tablet,3,161,0
SESSJ2XCVTBGKI,C00061,2025-04-01,Email,Email,CAM0008,Mobile,1,15,1
SESSZV6AUM96PX,C06125,2025-03-15,Organic,SEO,,Mobile,9,240,0
SESSGF0LIM87TN,C01252,2024-02-25,Paid Search,CPC,CAM0051,Mobile,3,5,1
SESS7HSLRXE7G1,C07465,2025-06-10,Direct,Direct,,Mobile,2,11,1
SESSD1XYLIEI49,,2025-02-22,Referral,Referral,,Desktop,4,220,0
SESSI5BA0RRY0A,,2024-03-28,Organic,SEO,,Desktop,4,415,0
SESS3JC4BIWYPA,,2024-01-08,Paid Search,CPC,CAM0036,Mobile,1,258,1
SESSQ2CAN385PO,C00896,2025-04-21,Email,Email,,Mobile,1,110,1
SESS9WO7Q85YZN,,2024-08-02,Social,Social,CAM0077,Tablet,1,160,1
SESSLL00MFMOOO,C03937,2025-07-05,Paid Search,CPC,,Desktop,6,171,0
SESSC0EH7ZEZK3,C05176,2025-05-11,Direct,Direct,,Desktop,1,185,1
SESSJJ2K8Y40RW,,2025-05-17,Social,Social,CAM0062,Mobile,1,86,1
SESSMLG1SPDQZO,,2024-09-01,Affiliate,Affiliate,,Mobile,6,169,0
