order_id,customer_id,order_date,channel,device,campaign_id,delivery_days,status,ship_state,ship_city
O000112,C04570,2025-06-29,Website,Desktop,,3,Completed,Odisha,Surat
O000113,C00013,2024-11-24,Mobile App,Mobile,CAM0051,2,Completed,West Bengal,Bengaluru
O000114,C02613,2025-03-09,Mobile App,Tablet,CAM0073,4,Completed,Delhi,Indore
O000115,C04776,2025-08-10,Mobile App,Mobile,,5,Completed,Uttar Pradesh,Ahmedabad
O000116,C02205,2024-09-05,Mobile App,Desktop,,4,Completed,Punjab,Jaipur
O000117,C02204,2024-05-13,Mobile App,Desktop,CAM0022,3,Completed,West Bengal,Pune
O000118,C03119,2024-12-30,Mobile App,Desktop,,3,Completed,Uttar Pradesh,Coimbatore
O000119,C02309,2025-07-28,Marketplace,Desktop,CAM0095,2,Completed,Odisha,Kolkata
O000120,C06394,2025-02-28,Mobile App,Tablet,,4,Completed,Uttar Pradesh,Pune
O000121,C04259,2025-02-18,Mobile App,Mobile,CAM0066,4,Completed,Delhi,Chandigarh
O000122,C06761,2025-05-26,Marketplace,Mobile,,3,Completed,Odisha,Surat
O000123,C04079,2025-01-19,Website,Mobile,,4,Completed,Bihar,Kolkata
O000124,C03557,2025-01-22,Mobile App,Mobile,,1,Shipped,Tamil Nadu,Jaipur
O000125,C00684,2025-03-24,Mobile App,Tablet,,4,Completed,Uttar Pradesh,Bengaluru
O000126,C02110,2025-07-17,Mobile App,Desktop,,4,Completed,Karnataka,Lucknow
O000127,C01042,2024-10-29,Mobile App,Tablet,,2,Completed,Haryana,Jaipur
O000128,C02454,2024-04-08,Mobile App,Mobile,CAM0020,2,Completed,West Bengal,Lucknow
O000129,C01081,2024-11-01,Mobile App,Tablet,,6,Completed,Rajasthan,Gurugram
O000130,C05635,2025-07-10,Mobile App,Desktop,,5,Completed,Uttar Pradesh,Indore
O000131,C03309,2024-02-11,Website,Desktop,,3,Completed,West Bengal,Patna
O000132,C01423,2025-04-12,Website,Tablet,,4,Completed,Odisha,Lucknow
O000133,C03191,2025-03-15,Website,Mobile,,3,Completed,Uttar Pradesh,Patna
O000134,C07586,2024-11-22,Mobile App,Tablet,,6,Completed,Haryana,Pune
O000135,C04947,2025-07-22,Website,Mobile,CAM0095,4,Completed,Haryana,Lucknow
O000136,C02021,2024-02-02,Mobile App,Desktop,,4,Completed,Maharashtra,Chandigarh
O000137,C03078,2025-02-15,Marketplace,Mobile,,4,Completed,Delhi,Pune
O000138,C03784,2024-04-23,Mobile App,Mobile,,3,Completed,Punjab,Chennai
O000139,C05339,2025-05-22,Mobile App,Mobile,,2,Completed,Tamil Nadu,Mumbai
O000140,C07043,2024-02-25,Mobile App,Mobile,,4,Completed,West Bengal,Jaipur
O000141,C01496,2025-07-09,Mobile App,Mobile,,5,Completed,Maharashtra,Bhubaneswar
O000142,C04172,2024-12-17,Website,Mobile,,5,Completed,Gujarat,Gurugram
O000143,C03616,2024-11-24,Mobile App,Mobile,CAM0051,3,Shipped,Odisha,Ahmedabad
O000144,C07200,2025-06-29,Marketplace,Mobile,CAM0086,1,Completed,Madhya Pradesh,Bhubaneswar
O000145,C03554,2024-09-26,Website,Mobile,,1,Completed,Rajasthan,Chandigarh
O000146,C01136,2024-07-14,Website,Desktop,CAM0033,2,Completed,Karnataka,New Delhi
O000147,C02856,2025-02-16,Mobile App,Tablet,CAM0069,3,Completed,Telangana,Gurugram
O000148,C02517,2024-03-19,Website,Mobile,CAM0015,2,Cancelled,Uttar Pradesh,Indore
O000149,C02971,2024-03-23,Marketplace,Mobile,,3,Completed,Karnataka,Mysuru
O000150,C04691,2024-05-16,Website,Mobile,CAM0021,4,Shipped,Maharashtra,New Delhi
O000151,C05468,2025-06-22,Website,Desktop,CAM0089,5,Completed,Haryana,Lucknow
O000152,C05060,2024-11-01,Website,Mobile,CAM0052,2,Completed,Telangana,Chennai
O000153,C00522,2024-11-06,Marketplace,Desktop,,4,Completed,Gujarat,Bhubaneswar
O000154,C02742,2025-01-22,Mobile App,Desktop,,6,Completed,Tamil Nadu,Coimbatore
O000155,C04706,2025-07-02,Mobile App,Desktop,,3,Cancelled,Maharashtra,Indore
O000156,C07549,2025-05-20,Mobile App,Mobile,,3,Completed,Haryana,Kolkata
O000157,C06750,2025-01-22,Website,Tablet,CAM0061,2,Cancelled,Haryana,Chandigarh
O000158,C06985,2024-10-19,Mobile App,Tablet,,4,Completed,Odisha,Chennai
O000159,C02144,2024-06-27,Marketplace,Mobile,CAM0026,1,Completed,Maharashtra,Patna
O000160,C06428,2025-03-04,Marketplace,Desktop,CAM0073,3,Completed,Uttar Pradesh,Chandigarh
O000161,C06471,2025-06-07,Marketplace,Tablet,,4,Completed,Maharashtra,New Delhi
O000162,C03637,2024-11-07,Website,Desktop,,2,Completed,Telangana,Chandigarh
O000163,C03664,2024-03-20,Mobile App,Mobile,,2,Cancelled,Odisha,Bengaluru
O000164,C07007,2024-01-14,Mobile App,Mobile,,6,Completed,Bihar,Kolkata
O000165,C05123,2024-02-23,Marketplace,Desktop,,3,Completed,Odisha,Chandigarh
O000166,C07280,2025-03-22,Website,Mobile,,3,Completed,Maharashtra,Chennai
O000167,C04804,2024-03-05,Website,Desktop,,6,Completed,Uttar Pradesh,Vadodara
O000168,C06825,2025-01-06,Mobile App,Mobile,,2,Completed,Tamil Nadu,Chandigarh
O000169,C03888,2025-05-17,Mobile App,Desktop,,1,Completed,Haryana,Bengaluru
O000170,C01409,2025-07-23,Website,Desktop,,4,Cancelled,Punjab,Kochi
O000171,C06484,2024-04-05,Mobile App,Mobile,,3,Completed,Gujarat,Kochi
O000172,C05269,2025-06-16,Website,Mobile,CAM0089,1,Completed,Haryana,Lucknow
O000173,C05440,2024-09-16,Mobile App,Mobile,CAM0044,4,Completed,West Bengal,Gurugram
O000174,C04421,2025-08-07,Website,Desktop,CAM0097,2,Cancelled,Odisha,Lucknow
O000175,C05911,2024-09-04,Mobile App,Desktop,,4,Completed,Tamil Nadu,Chandigarh
O000176,C02194,2024-05-06,Marketplace,Tablet,,3,Completed,Uttar Pradesh,Jaipur
O000177,C02004,2025-05-13,Website,Mobile,CAM0082,4,Completed,West Bengal,Mysuru
O000178,C03675,2024-02-15,Marketplace,Tablet,,4,Completed,Punjab,Lucknow
O000179,C02022,2024-09-24,Marketplace,Desktop,,3,Completed,Odisha,Jaipur
O000180,C07867,2025-06-25,Website,Mobile,,4,Shipped,Rajasthan,Bhubaneswar
O000181,C00345,2024-04-03,Mobile App,Mobile,CAM0016,4,Completed,Maharashtra,Lucknow
O000182,C07776,2024-11-11,Website,Desktop,,3,Completed,Punjab,Bengaluru
O000183,C00982,2024-03-11,Mobile App,Desktop,,4,Completed,Delhi,Indore
O000184,C03032,2025-08-15,Marketplace,Desktop,,2,Shipped,Odisha,Lucknow
O000185,C06444,2025-03-24,Website,Mobile,,5,Completed,Kerala,Kochi
O000186,C02031,2025-01-01,Website,Mobile,,3,Completed,Telangana,Kochi
O000187,C00034,2025-02-13,Mobile App,Desktop,,2,Completed,Bihar,Surat
O000188,C07287,2024-03-31,Mobile App,Mobile,,4,Completed,Gujarat,Patna
O000189,C01865,2025-05-23,Marketplace,Tablet,,4,Shipped,Punjab,Patna
O000190,C06139,2025-06-11,Mobile App,Mobile,,6,Completed,Karnataka,Bengaluru
O000191,C05874,2024-04-19,Mobile App,Mobile,,4,Cancelled,Delhi,Bengaluru
O000192,C00602,2024-03-29,Marketplace,Desktop,,1,Completed,Bihar,Chennai
O000193,C04679,2024-09-28,Website,Desktop,,5,Completed,Maharashtra,Vadodara
O000194,C05130,2024-09-03,Website,Mobile,,3,Completed,West Bengal,Hyderabad
O000195,C00725,2024-12-26,Mobile App,Mobile,,4,Completed,Tamil Nadu,Pune
O000196,C02454,2025-01-12,Marketplace,Mobile,,5,Completed,Punjab,Hyderabad
O000197,C06029,2024-07-24,Mobile App,Tablet,,2,Shipped,Delhi,Mysuru
O000198,C04427,2024-12-10,Mobile App,Desktop,,3,Completed,West Bengal,Surat
O000199,C06232,2025-03-30,Mobile App,Mobile,,4,Completed,Rajasthan,Lucknow
O000200,C00242,2024-03-07,Website,Mobile,,4,Completed,Kerala,Hyderabad
O000201,C06768,2025-07-11,Website,Tablet,,4,Completed,Haryana,New Delhi
O000202,C07113,2024-02-12,Mobile App,Desktop,,2,Completed,Kerala,Bhubaneswar
O000203,C03063,2024-08-16,Marketplace,Mobile,,2,Cancelled,Haryana,Kolkata
O000204,C00883,2025-03-19,Mobile App,Desktop,CAM0072,3,Completed,West Bengal,Mysuru
O000205,C02293,2024-08-21,Website,Desktop,,5,Completed,Delhi,Coimbatore
O000206,C07656,2024-07-17,Mobile App,Desktop,,1,Shipped,Gujarat,Mumbai
O000207,C05833,2025-05-11,Website,Mobile,CAM0081,4,Completed,Madhya Pradesh,Kochi
O000208,C07245,2024-02-01,Website,Desktop,,3,Completed,Bihar,Bhubaneswar
O000209,C05211,2024-09-20,Website,Desktop,CAM0043,3,Completed,Karnataka,Surat
O000210,C03516,2024-04-22,Marketplace,Tablet,,3,Completed,Delhi,Lucknow
O000211,C00989,2025-04-03,Website,Desktop,,4,Completed,Karnataka,Vadodara
O000212,C01834,2024-10-02,Mobile App,Desktop,,3,Completed,Madhya Pradesh,Chennai
O000213,C07219,2024-05-25,Mobile App,Tablet,,4,Completed,West Bengal,Gurugram
O000214,C03173,2024-12-22,Mobile App,Mobile,CAM0058,3,Completed,Karnataka,Coimbatore
O000215,C02548,2024-01-06,Marketplace,Mobile,CAM0002,5,Completed,Maharashtra,Chennai
O000216,C01066,2024-12-05,Website,Mobile,,5,Completed,Delhi,Patna
O000217,C02122,2025-05-08,Website,Desktop,,3,Completed,Punjab,Lucknow
O000218,C03529,2024-04-17,Website,Mobile,,4,Completed,Bihar,Bengaluru
O000219,C06530,2024-03-11,Mobile App,Tablet,CAM0015,4,Completed,Delhi,Lucknow
O000220,C00368,2024-12-05,Website,Mobile,,3,Completed,Bihar,Mysuru
O000221,C04062,2024-04-09,Website,Desktop,,2,Returned,Kerala,Lucknow
O000222,C01283,2024-11-22,Website,Desktop,,4,Completed,Uttar Pradesh,Lucknow
O000223,C02862,2024-02-02,Website,Mobile,,3,Completed,Delhi,Pune
O000224,C02774,2024-05-22,Website,Desktop,,3,Completed,Bihar,Bhubaneswar
O000225,C06287,2024-08-31,Website,Mobile,,4,Completed,Karnataka,Bengaluru
O000226,C03967,2024-08-04,Mobile App,Mobile,CAM0040,4,Completed,Haryana,Patna
O000227,C07430,2025-03-09,Website,Mobile,,5,Completed,Tamil Nadu,Pune
O000228,C07079,2024-02-23,Mobile App,Mobile,,5,Completed,Odisha,Surat
O000229,C00284,2025-08-14,Website,Mobile,CAM0099,4,Completed,Gujarat,Surat
O000230,C04722,2024-05-30,Mobile App,Mobile,,4,Completed,Gujarat,New Delhi
O000231,C07809,2024-02-24,Mobile App,Desktop,,3,Completed,Telangana,Ahmedabad
O000232,C01301,2025-05-31,Website,Mobile,,5,Shipped,Madhya Pradesh,Gurugram
O000233,C06517,2025-03-23,Mobile App,Mobile,,3,Cancelled,Telangana,Indore
O000234,C05761,2024-02-04,Mobile App,Mobile,CAM0010,3,Completed,Madhya Pradesh,Chandigarh
O000235,C03769,2024-04-28,Website,Mobile,,3,Completed,West Bengal,Surat
O000236,C01196,2024-07-15,Marketplace,Mobile,,4,Completed,Gujarat,Indore
O000237,C05505,2025-07-19,Website,Tablet,,3,Shipped,Tamil Nadu,Chennai
O000238,C03663,2025-05-28,Mobile App,Mobile,,2,Completed,Haryana,Pune
O000239,C00888,2025-02-25,Website,Mobile,CAM0067,5,Completed,Bihar,Gurugram
O000240,C07354,2025-05-31,Mobile App,Desktop,CAM0081,5,Completed,Bihar,Patna
O000241,C04653,2024-05-18,Mobile App,Mobile,CAM0023,4,Returned,Tamil Nadu,Pune
O000242,C04642,2024-02-13,Website,Desktop,,1,Completed,Gujarat,Ahmedabad
O000243,C05439,2024-08-06,Website,Desktop,,5,Completed,Uttar Pradesh,Bengaluru
O000244,C01251,2025-07-21,Website,Desktop,,3,Completed,Karnataka,New Delhi
O000245,C07206,2024-09-14,Website,Mobile,,2,Completed,West Bengal,Chennai
O000246,C04025,2025-05-27,Mobile App,Mobile,,4,Completed,Kerala,Bhubaneswar
O000247,C05113,2025-01-11,Mobile App,Mobile,,4,Completed,Delhi,Lucknow
O000248,C00040,2024-10-15,Mobile App,Mobile,,3,Completed,Telangana,Bhubaneswar
O000249,C03280,2025-04-14,Mobile App,Tablet,CAM0079,5,Completed,Madhya Pradesh,Indore
O000250,C04457,2024-04-12,Website,Desktop,,5,Completed,Haryana,Kochi
O000251,C05489,2024-05-28,Mobile App,Mobile,,5,Shipped,Madhya Pradesh,Ahmedabad
O000252,C03809,2024-03-24,Mobile App,Mobile,CAM0011,4,Completed,Delhi,Kochi
O000253,C07560,2024-01-26,Website,Desktop,,5,Completed,Kerala,New Delhi
O000254,C04647,2024-06-23,Mobile App,Mobile,,3,Completed,Bihar,Patna
O000255,C00437,2025-02-25,Website,Mobile,,2,Completed,Haryana,Kolkata
O000256,C02264,2024-12-11,Website,Mobile,,3,Completed,Uttar Pradesh,Jaipur
O000257,C02822,2024-10-28,Mobile App,Mobile,,3,Completed,Bihar,Ahmedabad
O000258,C00803,2024-10-24,Website,Mobile,,2,Completed,West Bengal,Lucknow
O000259,C06094,2024-05-14,Website,Mobile,CAM0023,4,Completed,Odisha,Mysuru
O000260,C04745,2024-02-24,Website,Desktop,CAM0006,5,Completed,Madhya Pradesh,Pune
O000261,C01836,2024-02-25,Mobile App,Desktop,,3,Returned,Haryana,Chennai
O000262,C06237,2025-01-08,Website,Mobile,,1,Completed,Kerala,Mumbai
O000263,C05891,2025-08-10,Website,Mobile,CAM0100,2,Completed,Karnataka,Chennai
O000264,C02908,2024-12-04,Marketplace,Desktop,,5,Completed,Rajasthan,Bengaluru
O000265,C01567,2025-04-01,Website,Mobile,,3,Returned,Rajasthan,Coimbatore
O000266,C03248,2024-12-20,Mobile App,Mobile,,5,Completed,Maharashtra,Hyderabad
O000267,C00115,2024-05-11,Website,Desktop,CAM0024,5,Completed,Kerala,Vadodara
O000268,C01902,2025-05-07,Mobile App,Tablet,CAM0084,6,Completed,Telangana,Kochi
O000269,C04391,2025-07-07,Marketplace,Desktop,,5,Completed,Rajasthan,Chandigarh
O000270,C06795,2024-04-19,Marketplace,Mobile,CAM0016,4,Completed,Maharashtra,Jaipur
O000271,C03397,2025-08-04,Website,Mobile,,4,Completed,Karnataka,Lucknow
O000272,C06932,2024-05-05,Website,Desktop,CAM0021,3,Completed,Bihar,Surat
O000273,C06947,2024-10-22,Website,Mobile,CAM0047,3,Completed,Telangana,Coimbatore
O000274,C00764,2024-06-27,Mobile App,Mobile,,2,Completed,Telangana,Chennai
O000275,C03402,2024-07-15,Mobile App,Mobile,,4,Completed,Haryana,Indore
O000276,C04222,2024-04-10,Website,Desktop,,1,Completed,Tamil Nadu,Jaipur
O000277,C06732,2025-07-26,Website,Mobile,,4,Completed,Gujarat,Gurugram
O000278,C05284,2024-07-01,Marketplace,Desktop,,4,Completed,Punjab,Hyderabad
O000279,C05261,2024-01-09,Website,Desktop,CAM0004,5,Completed,Punjab,Coimbatore
O000280,C00988,2025-02-16,Website,Mobile,CAM0069,4,Completed,Delhi,Kolkata
O000281,C00407,2025-07-19,Mobile App,Mobile,CAM0092,3,Completed,Rajasthan,Ahmedabad
O000282,C05555,2024-04-13,Mobile App,Desktop,CAM0020,4,Completed,Kerala,Coimbatore
O000283,C06238,2024-05-05,Mobile App,Mobile,,5,Cancelled,Punjab,Pune
O000284,C04214,2025-06-29,Website,Mobile,,3,Completed,Haryana,Gurugram
O000285,C03163,2024-09-26,Website,Desktop,,1,Completed,Bihar,Chandigarh
O000286,C00854,2025-04-10,Mobile App,Mobile,,6,Completed,Kerala,Pune
O000287,C00693,2024-04-27,Marketplace,Desktop,,3,Completed,Madhya Pradesh,Coimbatore
O000288,C00783,2024-04-01,Website,Desktop,,4,Completed,Maharashtra,Kolkata
O000289,C02742,2025-04-29,Website,Mobile,CAM0076,1,Completed,Karnataka,Hyderabad
O000290,C02291,2024-03-27,Mobile App,Mobile,CAM0015,4,Completed,West Bengal,Kochi
O000291,C04174,2024-08-21,Mobile App,Desktop,CAM0036,6,Completed,West Bengal,Lucknow
O000292,C04837,2024-05-03,Website,Mobile,,4,Completed,Kerala,Bhubaneswar
O000293,C02925,2024-07-21,Website,Mobile,,2,Completed,Haryana,Pune
O000294,C00357,2024-02-01,Website,Mobile,CAM0003,3,Completed,Maharashtra,Chennai
O000295,C06665,2024-12-22,Website,Mobile,,4,Completed,Gujarat,Mysuru
O000296,C05614,2025-04-07,Website,Desktop,,4,Shipped,Uttar Pradesh,Hyderabad
O000297,C03898,2025-07-04,Mobile App,Mobile,,3,Completed,Odisha,Chennai
O000298,C06567,2024-04-03,Website,Desktop,,5,Completed,Bihar,Mysuru
O000299,C06413,2025-06-05,Website,Desktop,,5,Shipped,Bihar,Bhubaneswar
O000300,C06719,2025-02-11,Marketplace,Mobile,CAM0066,3,Completed,Karnataka,Mysuru
O000301,C01254,2024-04-09,Website,Mobile,,3,Completed,Punjab,Vadodara
O000302,C02720,2024-08-31,Mobile App,Desktop,,4,Completed,Telangana,Chennai
O000303,C05627,2024-02-27,Website,Desktop,,2,Completed,Odisha,Bengaluru
O000304,C07383,2024-12-22,Marketplace,Mobile,,3,Completed,Rajasthan,Surat
