return_id,order_item_id,return_date,reason,refund_amount
RET9UXDXEBA,OI0034180,2024-08-08,Damaged,2717.42
RETB02UCLZ2,OI0003674,2024-04-18,Size/fit,2103.98
RETZ0DUAMMQ,OI0035487,2024-10-04,Wrong Item,1072.7
RET3RYXQOIC,OI0041457,2024-04-20,Not as described,2442.0
RETBN7RBEA2,OI0041532,2025-08-03,Arrived late,1135.04
RETK8QCLSGA,OI0029212,2024-12-01,Wrong Item,3879.85
RETOHWNNFPG,OI0024960,2024-06-25,Arrived late,3453.69
RETVQ8AK1HH,OI0015201,2024-08-17,Damaged,1268.72
RETD8JVX7WK,OI0039070,2025-01-22,Size/fit,3103.07
RETAEFJCXBU,OI0036368,2025-02-01,Size/fit,579.89
RET2Z4SRHMU,OI0007479,2024-05-02,Other,501.49
RETUSQS2EUL,OI0007365,2025-08-09,Not as described,3503.27
RET8ETMD4V8,OI0024202,2025-03-12,Size/fit,6274.22
RETGWOBQ4J6,OI0001683,2024-10-29,Damaged,1035.94
RETR97UPFGR,OI0037855,2024-11-12,Not as described,1856.72
RETUE01IR44,OI0032993,2024-10-21,Wrong Item,2917.19
RETA2IUNPKS,OI0001176,2024-06-21,Size/fit,10289.34
RETNQKWKYT7,OI0014050,2025-08-01,Not as described,2343.1
RETU8WR4S4D,OI0018779,2024-02-13,Damaged,8637.76
RETZKDZFU0P,OI0030272,2024-12-01,Other,8664.2
RETESEG5GKU,OI0042279,2024-03-10,Arrived late,24682.16
RETAFSI0W1G,OI0016243,2024-10-23,Arrived late,480.53
RETX9JJSYVB,OI0042825,2024-01-26,Damaged,2378.18
RET6UIJ1NH7,OI0001977,2024-07-21,Damaged,519.18
RETFF05DTZA,OI0018013,2025-05-28,Arrived late,12419.77
RETQY1XLW9I,OI0019151,2024-11-30,Other,53435.18
RETRDTVIE16,OI0022791,2024-09-04,Not as described,7438.86
RETGKUF2ZET,OI0031310,2024-05-16,Arrived late,2454.51
RETHJRZN0BH,OI0029926,2025-06-18,Damaged,3652.65
RETZQP3NF6K,OI0017640,2024-04-05,Size/fit,8351.02
RETQVBVF8ZF,OI0026690,2025-01-10,Wrong Item,6628.83
RET48DEYV9E,OI0001181,2025-06-16,Other,12834.01
RET6UF6GT58,OI0012552,2024-10-14,Other,1842.09
RETDOG2NCFL,OI0005011,2024-04-27,Size/fit,3337.63
RETDPSESRN8,OI0008092,2024-01-14,Size/fit,7491.76
RET1X2GJ3KL,OI0001001,2025-04-25,Damaged,2729.24
RET2IE2QNA2,OI0044877,2025-04-23,Arrived late,1092.56
RETSMSY4UK2,OI0018610,2025-02-18,Not as described,11098.82
RET6GYOGINP,OI0026989,2024-08-31,Other,1146.06
RETTLSYNWEC,OI0027647,2025-06-16,Other,6665.72
RET3PJQPVQF,OI0040413,2024-01-17,Size/fit,2370.65
RETTFPY4N53,OI0037050,2024-07-16,Arrived late,970.92
RET1G558KL9,OI0034639,2025-01-04,Other,1296.13
RET491B0ZW6,OI0016186,2024-10-29,Not as described,1233.58
RETHIV7ML6K,OI0020147,2024-01-12,Size/fit,818.66
RET4ASBU16C,OI0040891,2024-09-19,Not as described,24673.91
RET5Z9FWGDY,OI0013657,2024-06-27,Arrived late,2313.63
RET0PWP1OLQ,OI0020566,2025-05-17,Other,4305.09
RETQPV50X4R,OI0023982,2024-09-16,Wrong Item,5540.75
RET3LC4Z8E1,OI0038356,2024-08-01,Other,4062.2
RETLTU8C2DB,OI0033029,2025-05-16,Arrived late,18773.77
RET5729SQ7X,OI0033781,2024-10-19,Other,549.34
RET19I6W7J4,OI0002005,2025-01-03,Other,5677.35
RETWWG3XZQU,OI0006133,2025-05-13,Damaged,2556.28
RETXYKCIPP2,OI0007781,2024-11-25,Other,4552.57
RET6RET2AZK,OI0037528,2025-01-11,Other,1648.15
RETEB9UTDE5,OI0042091,2024-10-27,Not as described,465.29
RETIGNPUXKH,OI0031462,2025-02-21,Wrong Item,25171.39
RETI8QFRFLE,OI0046269,2024-07-03,Not as described,622.38
RETZDOA01NT,OI0013311,2024-03-16,Not as described,9330.03
RET7YNXT720,OI0000843,2024-11-18,Size/fit,7178.59
RETM4BY49AI,OI0025152,2025-06-25,Damaged,3981.97
RETSXEM0T7E,OI0044741,2025-07-20,Not as described,99510.39
RET4AXX14VL,OI0027474,2025-01-24,Arrived late,25636.76
RETVZPT6IZU,OI0017096,2025-04-19,Arrived late,334.81
RETNHUM00PU,OI0026125,2024-02-07,Other,2523.44
RETYAWYLD6Q,OI0013957,2024-12-11,Size/fit,5773.01
RETMWYZG3RI,OI0037065,2024-06-06,Damaged,4271.23
RETV18M11T5,OI0024583,2024-07-10,Damaged,17953.97
RET9WC4872N,OI0036294,2025-04-21,Other,7279.16
RET3MZHUAMQ,OI0021795,2024-11-11,Arrived late,2178.68
RETRTMLXEJX,OI0021204,2024-07-20,Wrong Item,479.43
RET98NR8US4,OI0035045,2025-03-16,Size/fit,3705.21
RETI1CYWO0K,OI0012142,2024-06-07,Other,2332.99
RET3L6CF7HY,OI0038994,2024-08-15,Size/fit,3752.45
RETVVN6P8AS,OI0013392,2025-05-10,Arrived late,203.28
RETOBS42BKO,OI0017888,2024-06-18,Arrived late,40237.94
RETCYZM5FJC,OI0046160,2024-03-30,Wrong Item,2199.79
RETNWP5R8VW,OI0017813,2024-07-21,Wrong Item,1002.14
RETSJ4J3PD5,OI0026684,2025-02-16,Damaged,5626.33
RETWUS3YKUZ,OI0012897,2024-09-30,Size/fit,7893.89
RET6WOI33M9,OI0036249,2025-05-25,Size/fit,1554.68
RETYU1IP2RG,OI0008038,2025-05-11,Arrived late,3593.32
RETMUPETZL6,OI0008511,2024-12-14,Damaged,13828.41
RETPGAJ06QI,OI0038961,2025-08-29,Other,7649.31
RETSG0M3N3A,OI0036282,2025-06-11,Size/fit,3386.03
RETCZ57FD74,OI0008195,2024-05-20,Damaged,383.5
RETPCXTWBGQ,OI0010916,2024-01-19,Damaged,2635.39
RET1QQGXAXX,OI0018495,2024-06-24,Arrived late,1227.28
RET8HKKISSS,OI0000400,2025-08-23,Damaged,13157.68
RET9F162GPZ,OI0019003,2025-02-14,Wrong Item,604.18
RETV2G438HB,OI0028535,2025-02-12,Wrong Item,1804.69
RET5Y563LRH,OI0017972,2024-12-12,Not as described,1445.99
RETHUPZ4PGU,OI0003426,2025-01-02,Arrived late,3052.63
RET0W3WLNED,OI0019688,2024-06-08,Other,7896.83
RETS3A9PMVV,OI0025778,2025-01-25,Not as described,4050.65
RETA3AFXFMB,OI0016523,2025-03-28,Wrong Item,968.27
RET0R4GFBY0,OI0028919,2024-04-18,Not as described,4088.34
RETO9K8O9RT,OI0034200,2024-09-28,Arrived late,6624.36
RETW4D4RGEW,OI0032752,2024-10-04,Arrived late,2549.55
RETELIH1J41,OI0032556,2024-02-21,Damaged,10028.33
RETCEADXICZ,OI0033486,2024-12-21,Size/fit,8323.99
RETG0UBH4HK,OI0004741,2024-09-22,Damaged,3290.02
RETR3C0GG3A,OI0044748,2024-02-17,Arrived late,449.8
RETFA9LCK1E,OI0022818,2025-06-19,Wrong Item,10827.26
RETJUY8YBW7,OI0032728,2024-10-01,Other,23891.41
RET22OHJXTI,OI0033753,2024-01-13,Wrong Item,19625.38
RET8FIEW4H1,OI0023946,2024-04-05,Damaged,21904.65
RET6WHI5DEW,OI0037217,2024-08-13,Other,817.55
RETCI4BI80L,OI0020356,2024-04-20,Arrived late,61.89
RETLZ9I2SWV,OI0045475,2025-05-19,Wrong Item,3364.01
RET4IJTSNHV,OI0043961,2025-07-23,Arrived late,5477.15
RETT93H5VES,OI0012049,2024-09-02,Other,903.68
RETJBUIVRNK,OI0028810,2025-07-23,Other,29490.87
RET92BGZBJG,OI0014340,2024-08-04,Wrong Item,1755.42
RETMREI1B21,OI0012432,2024-06-23,Arrived late,1262.13
RETALXKAP4E,OI0045330,2024-04-27,Not as described,5418.4
RETJTJLNJHT,OI0044067,2025-07-04,Arrived late,1428.44
RET62I7ZDRE,OI0039260,2024-10-07,Other,100392.18
RETLBOHLRO3,OI0041949,2024-04-16,Arrived late,1978.22
RETX8RIIRFL,OI0006246,2024-06-24,Damaged,3963.14
RETI1VRB9QE,OI0042570,2024-01-15,Not as described,1075.23
RETR8XXPEH2,OI0035969,2024-07-21,Size/fit,151.87
RETN592CJ0F,OI0007970,2025-06-28,Damaged,33694.09
RETWD2MBUNH,OI0024895,2024-07-18,Size/fit,8667.31
RETO2TY7AD9,OI0041205,2024-03-11,Wrong Item,829.79
RET0PM5UWQ1,OI0045547,2024-09-25,Size/fit,2246.92
RETGWMNYHJG,OI0042236,2024-01-24,Arrived late,2451.97
RETFB0VFSDH,OI0028451,2024-07-13,Size/fit,3043.48
RETIF2BOY15,OI0014927,2024-11-21,Other,6774.29
RET8DL6NOPG,OI0038637,2025-01-18,Damaged,3129.8
RET8TCB5M2G,OI0019021,2025-01-16,Damaged,14082.52
RETX5NZ9Z3J,OI0046257,2025-06-13,Size/fit,6349.15
RETDWPIDVYF,OI0006543,2025-04-01,Damaged,1566.44
RET6S6YSZVJ,OI0015412,2024-11-18,Other,35760.73
RET9IQ0AK7C,OI0022340,2024-02-03,Damaged,1987.8
RETCYMNE2JU,OI0015110,2025-08-25,Size/fit,3724.96
RET63E4P4P9,OI0046318,2024-07-14,Not as described,1182.36
RET7BE1OHBU,OI0014895,2024-05-23,Not as described,5916.94
RETKZI5VCTT,OI0033246,2024-02-15,Wrong Item,5378.38
RETI2599N1R,OI0023215,2024-06-29,Damaged,5171.64
RETEEAAC153,OI0013241,2024-03-07,Size/fit,2580.38
RETVZTOEGHV,OI0005309,2024-10-23,Damaged,928.73
RETNHCEX947,OI0044834,2024-04-24,Arrived late,753.6
RETUI6D9PKX,OI0026761,2024-07-25,Other,1405.03
RETVKE70IPB,OI0043155,2025-03-19,Damaged,328.25
RET6Y6HRVAA,OI0026952,2025-03-26,Damaged,2940.01
RETSKM1HSBO,OI0006035,2024-10-30,Not as described,16166.41
RETF1PQYN0G,OI0038708,2025-06-29,Other,498.52
RETE4R4U5PZ,OI0006553,2024-07-30,Size/fit,2194.77
RET93QK8N7S,OI0046118,2025-03-22,Damaged,7365.06
RETY3NHR0B8,OI0034346,2025-01-15,Not as described,1961.27
RETM2IHC2KX,OI0035102,2025-01-07,Wrong Item,1631.88
RETBWG3CKZQ,OI0025197,2024-04-10,Other,2148.61
RET5CQ4OSSX,OI0040940,2024-10-15,Not as described,3217.52
RET6Q4ZR448,OI0017488,2025-07-28,Not as described,3411.5
RETWX85JR3F,OI0038145,2024-11-18,Not as described,4367.38
RETDOOJWZDU,OI0034897,2024-10-10,Damaged,853.12
RETZJ5IH9Z9,OI0006401,2024-02-20,Damaged,2037.87
RETYXIFAMEF,OI0036318,2024-09-21,Wrong Item,11169.86
RETT2QUXT1E,OI0032999,2025-01-19,Arrived late,6551.64
RETSU9FBS95,OI0038641,2025-04-06,Arrived late,438.05
RETHYK0T2XT,OI0020035,2025-08-10,Arrived late,5696.03
RETW7XDVN6T,OI0012893,2024-05-14,Other,1865.85
RETEIL3JXOC,OI0028332,2024-07-17,Other,14537.75
RETL8WRFCX6,OI0039993,2025-05-20,Wrong Item,689.91
RET66FCLICD,OI0010931,2024-07-21,Other,7939.36
RETNLG5QG3F,OI0044766,2025-02-19,Arrived late,717.76
RET9G0T5O3S,OI0043825,2024-04-10,Arrived late,118.15
RETB3WVG4HH,OI0003919,2024-02-02,Not as described,20053.92
RETC4GJFQE8,OI0024169,2024-12-12,Other,11853.52
RET0W987UTM,OI0018380,2025-06-08,Damaged,6588.26
RETEC48NV62,OI0005140,2025-06-05,Damaged,17446.7
RETMWI6YWOD,OI0043246,2024-03-02,Not as described,2312.91
RETO4IRFVL0,OI0034489,2024-01-30,Not as described,2682.58
RETJ11U5WWZ,OI0046250,2025-08-12,Not as described,21254.46
RET1B6BOEO6,OI0009912,2024-11-23,Damaged,1101.4
RETB35TOC4G,OI0027835,2024-12-01,Arrived late,4443.25
RET5HB9HTMW,OI0025633,2024-02-23,Not as described,889.18
RETG2J7RXI8,OI0026398,2024-05-29,Wrong Item,430.95
RET8X1T0YI5,OI0032101,2024-06-26,Not as described,1111.94
RET84OHGA8M,OI0044475,2024-10-11,Size/fit,1126.47
RET62ZO14HQ,OI0014291,2025-07-07,Not as described,24523.14
RET84IB00GE,OI0031422,2025-08-06,Damaged,9059.42
RETBE0AVJ5A,OI0043846,2025-03-29,Other,356.86
RETS917E95U,OI0042343,2024-11-21,Not as described,1279.52
RETA84CWN6U,OI0046077,2025-06-27,Other,11589.25
RETDLL2QF34,OI0045689,2025-02-23,Size/fit,6701.21
RETVTEBA83L,OI0027068,2024-07-04,Wrong Item,3486.08
RET2XQ5VO35,OI0028004,2025-03-26,Other,1534.17
RET6FQ6UH03,OI0015192,2024-02-29,Arrived late,1397.13
RETHQY8J1LX,OI0039154,2025-01-22,Not as described,2980.66
RETIMC8LAJA,OI0039275,2025-08-17,Size/fit,2819.47
RETLA67PC7U,OI0032547,2025-03-13,Size/fit,3101.53
RET9K2EYYLV,OI0006917,2024-12-07,Other,1458.09
RET0862S18J,OI0008201,2025-07-31,Wrong Item,1507.2
RETVP6B42B9,OI0006924,2024-09-23,Damaged,10861.3
RET4MQ70MBY,OI0002665,2025-06-09,Not as described,1264.82
RETFR67MZ8X,OI0020832,2024-02-15,Size/fit,13552.59
RET4NYQ7962,OI0012831,2025-06-19,Wrong Item,243.12
RETJG0OZV9U,OI0012629,2025-07-22,Arrived late,18310.05
RETIE9OFPLT,OI0000950,2024-10-04,Size/fit,110.47
RETCA1YUF5Y,OI0031194,2024-01-22,Wrong Item,1346.2
RET1OY4GNOW,OI0011864,2024-12-20,Damaged,771.73
RETVPXWHI3M,OI0037511,2024-11-05,Damaged,2396.72
RETYZ67U6K6,OI0010629,2025-01-31,Size/fit,13961.87
RETXOMF07LI,OI0029764,2025-03-28,Size/fit,5327.54
RET779TNK5Z,OI0002673,2024-07-01,Other,364.18
RET8DJZ5MG3,OI0035581,2024-05-14,Not as described,652.57
RETDYVRNUZA,OI0009956,2024-04-21,Wrong Item,221.57
RETI24F30VV,OI0007004,2024-07-16,Size/fit,8968.44
RETS5G65Q8L,OI0013253,2025-01-08,Not as described,11415.87
RETKSOSOVJX,OI0041884,2024-01-14,Other,1046.89
RETL5UXAJU6,OI0027105,2024-10-25,Not as described,33148.63
RETHDFC4DTV,OI0041242,2024-06-20,Size/fit,16414.5
RETHAQUBLRE,OI0030546,2025-08-04,Damaged,2645.4
RETLF8HEXD0,OI0010193,2024-10-10,Wrong Item,24278.89
RETO6GEAX9I,OI0029562,2025-03-13,Wrong Item,899.88
RETOE7Y3VE7,OI0003435,2024-10-25,Damaged,3092.93
RET4CJXCSE2,OI0025717,2025-06-04,Size/fit,19746.47
RETKGJD667U,OI0005573,2024-12-18,Wrong Item,1289.16
RETY3QFHHA2,OI0024482,2024-11-08,Size/fit,3945.99
RETCWHRI4FN,OI0044889,2025-06-01,Other,6837.96
RET9N4IUUO3,OI0024665,2025-02-15,Size/fit,2688.78
RET403WZ0GN,OI0007564,2025-08-06,Not as described,4502.69
RETHAT3ITVY,OI0045057,2024-04-10,Damaged,3319.33
RETJLTPR9D2,OI0028359,2025-03-15,Size/fit,31958.34
RETJTV1UKRX,OI0036634,2024-02-07,Other,28386.83
RET52HVHXM7,OI0035059,2024-12-30,Arrived late,589.5
RETZTX1IJQB,OI0028466,2025-01-25,Damaged,8298.3
RETQMQJBFUI,OI0035009,2025-06-03,Wrong Item,4373.12
RETDBRMLQQ7,OI0029286,2024-07-20,Not as described,2404.66
RET6VGEGMJY,OI0041223,2024-03-12,Wrong Item,22331.45
RETUEMY1E7D,OI0014084,2025-03-29,Other,5457.66
RETCPP5BNAO,OI0016659,2024-08-31,Other,5428.95
RET3G0RRG29,OI0042185,2025-03-01,Wrong Item,7540.41
RET6DZCD6IM,OI0042754,2024-12-26,Damaged,500.9
RETB01D5WDN,OI0001656,2025-04-26,Wrong Item,43939.49
RETPSE97FF6,OI0004087,2025-04-24,Size/fit,1823.5
RETR208W8IH,OI0043713,2024-07-04,Wrong Item,654.66
RETWW4U74CE,OI0026406,2024-09-24,Not as described,628.12
RETZEGK62LB,OI0014364,2025-06-14,Not as described,8311.05
RETZM6KX1CX,OI0032454,2025-08-09,Arrived late,14015.72
RETBXPAWQPO,OI0040100,2024-03-30,Not as described,398.26
RETE9FWCI6O,OI0022655,2024-06-12,Wrong Item,89050.57
RETMYMUSERC,OI0018919,2024-08-11,Not as described,190.4
RETDBN0MIPF,OI0018761,2025-03-28,Damaged,426.74
RETZ6XTAWKX,OI0017467,2024-01-31,Not as described,1578.37
RETV5ZDDA2A,OI0007545,2024-05-10,Size/fit,39548.53
RETAFN2Y8KB,OI0012155,2024-06-25,Damaged,6245.73
RET2BUC7EJ5,OI0036364,2025-06-08,Arrived late,3553.96
RET9O2Z4Y6D,OI0033808,2024-11-16,Size/fit,871.85
RET4VN92S7N,OI0023837,2024-12-14,Wrong Item,4415.54
RETMZHVV8WZ,OI0027740,2025-08-24,Wrong Item,4792.38
RETBQ7W9XR1,OI0027089,2024-10-17,Wrong Item,2791.04
RET4VXEVC66,OI0033120,2024-11-14,Size/fit,5266.76
RETLG7KCVMF,OI0042702,2024-09-15,Size/fit,571.08
RETXTMDDNOD,OI0034550,2024-08-22,Size/fit,2762.86
RET18NXJFJJ,OI0004120,2025-06-02,Damaged,2675.77
RETDZ5L4LLE,OI0043067,2025-08-20,Other,2778.7
RETUJ1512B0,OI0041061,2024-06-15,Damaged,2414.52
RETC8N6ZWCP,OI0015147,2025-08-07,Wrong Item,405.44
RETARDHJ4QQ,OI0010477,2025-04-22,Other,2714.77
RETRMDX5Z5L,OI0010825,2025-05-01,Not as described,3498.01
RETRG5GFUXG,OI0012651,2025-04-21,Wrong Item,4750.96
RETYWUAYIL7,OI0036622,2025-03-13,Arrived late,2673.56
RETN4WPF56S,OI0001711,2024-12-30,Damaged,1423.82
RETPMR2MQXZ,OI0026467,2024-09-01,Size/fit,4632.32
RETQSLDTYM4,OI0043534,2025-08-10,Damaged,686.04
RETZJH9OEFC,OI0023204,2025-06-05,Size/fit,1448.59
RETF5P8H0YT,OI0001877,2024-02-11,Other,5343.17
RET2OCHZ3PS,OI0020431,2025-08-02,Arrived late,10150.65
RETHROKHB21,OI0001912,2025-04-11,Other,430.61
RETNV05PBVH,OI0032290,2025-02-07,Arrived late,2586.48
RET1RYRSJBY,OI0019317,2024-07-07,Damaged,4122.68
RETJXNJTS3R,OI0022810,2025-02-06,Size/fit,5239.29
RETP66E7N3X,OI0013401,2025-07-24,Other,7139.73
RETMDJA5TN6,OI0020340,2024-12-24,Arrived late,3250.03
RET7SJ9029N,OI0005654,2025-02-16,Wrong Item,1303.66
RETQNW8XZDA,OI0004551,2024-09-16,Wrong Item,1449.49
RETNRGM6JHX,OI0018327,2025-03-23,Other,1463.2
RETY0GYL6TE,OI0014037,2024-10-09,Size/fit,395.03
RET4AX2B26V,OI0010215,2024-01-10,Other,1928.2
RETP3EHWFXK,OI0024493,2024-03-05,Damaged,235.84
RET5VNJUPJC,OI0006977,2025-03-12,Arrived late,13558.13
RET6PFM9U9H,OI0042261,2025-08-08,Damaged,5158.59
RETLKWWHWVY,OI0011452,2024-08-18,Wrong Item,918.05
RET58SLNAJX,OI0029096,2024-03-24,Arrived late,42586.89
RETI936L599,OI0041458,2024-02-15,Other,9324.11
RETS9QCK3P0,OI0010010,2025-06-13,Damaged,2786.18
RET2DEU8AWK,OI0025392,2024-07-02,Not as described,14083.17
RETN8XWK8ZC,OI0018246,2025-01-12,Size/fit,487.59
RETBGCATE9R,OI0025251,2024-04-21,Size/fit,31269.95
RET9MS3NNYA,OI0039581,2025-03-10,Not as described,29658.61
RETNATKN5EF,OI0016115,2025-02-07,Wrong Item,1894.53
RET5G334OP7,OI0001704,2024-12-04,Arrived late,215.99
RETHKB3Q6OM,OI0002518,2024-03-27,Size/fit,4496.09
RETZLAK4POO,OI0045736,2024-01-26,Not as described,1992.79
RETJ0NTHTNJ,OI0042915,2025-02-04,Other,1079.88
RETSPQ3RKEL,OI0010576,2024-07-03,Not as described,4729.84
RETGNFQRPGB,OI0001537,2025-01-18,Wrong Item,1282.79
RETP0XZHJ7P,OI0026287,2024-02-02,Wrong Item,1297.31
RET9DHJMAUB,OI0029594,2025-04-23,Damaged,59448.43
RETPSOLT9B4,OI0034357,2025-06-29,Size/fit,279.29
RETD1L04VU2,OI0041820,2024-04-06,Damaged,3743.84
RET7MH2089G,OI0023876,2024-12-17,Not as described,3876.65
RETJVR0MS7G,OI0019544,2024-11-17,Arrived late,41008.17
RETRYMNU453,OI0037339,2024-05-20,Arrived late,4163.1
RETZYHQQV7F,OI0009285,2024-04-15,Wrong Item,1474.1
RETNBECAWBM,OI0017378,2025-03-24,Arrived late,442.43
RET70E0VIKI,OI0043199,2024-07-06,Arrived late,3226.46
RET9JO3V2NP,OI0013035,2025-02-24,Arrived late,697.36
RET82NLPCP1,OI0018554,2024-06-20,Not as described,9363.4
RETJ2OTPRM5,OI0034989,2025-05-21,Arrived late,3271.21
RETZ8L4DGQ5,OI0008558,2024-07-07,Other,1919.54
RET3YSC8EN8,OI0022980,2024-07-06,Arrived late,4234.54
RETKEYBGRI8,OI0031120,2024-04-24,Arrived late,2430.15
RETO5FTPAGO,OI0008648,2024-02-17,Damaged,1998.42
RETEFIRST2P,OI0020604,2024-07-11,Not as described,3342.01
RETOW8ERKF6,OI0012034,2024-12-20,Wrong Item,6638.56
RETZ3CFUU1X,OI0012916,2024-08-14,Damaged,1358.48
RETLWMBU7V5,OI0028778,2024-04-09,Size/fit,1690.49
RET31UZQGWC,OI0028566,2024-09-23,Not as described,249.79
RETLE0M9E5R,OI0036231,2024-09-24,Other,3754.74
RETSI4U87XL,OI0028543,2025-05-22,Not as described,3894.44
RETTMO5UG5R,OI0027601,2024-11-15,Size/fit,5931.98
RETW1GLUFE3,OI0040542,2025-06-08,Size/fit,6378.73
RET59394ZR1,OI0038793,2024-11-22,Size/fit,6722.87
RETOLE53XOA,OI0039151,2024-10-06,Wrong Item,7710.0
RETXEMBBM57,OI0040734,2025-06-13,Arrived late,971.1
RETB77UAS2O,OI0024560,2025-06-01,Not as described,8674.14
RET5X4CR8MG,OI0025121,2024-08-01,Arrived late,55.34
RETGXPPG0GS,OI0036232,2024-09-14,Arrived late,4734.3
RETTY666G3C,OI0008475,2025-01-26,Other,6474.59
RET6JCLB7J0,OI0026775,2025-07-12,Size/fit,47535.39
RETZVYVZEYB,OI0021981,2024-12-01,Wrong Item,1202.45
RET6DGZBKN6,OI0012365,2024-08-29,Other,22008.45
RETKZG274M1,OI0013539,2024-04-19,Damaged,541.19
RETF4L7DOYB,OI0026281,2025-06-14,Wrong Item,232.8
RETKIIKE8YD,OI0043000,2024-10-30,Arrived late,429.06
RETOR6TY9CO,OI0037562,2024-02-13,Wrong Item,2501.18
RET90RM3FXI,OI0011197,2025-06-11,Size/fit,1505.54
RET0RJQRY3T,OI0017512,2024-10-07,Damaged,1120.6
RET5HW1ODOJ,OI0038466,2024-11-04,Size/fit,2196.84
RETKMWQIK3C,OI0000565,2024-08-27,Damaged,1504.23
RETHT51TCDW,OI0021164,2024-09-29,Other,43803.8
RET1K7DMS3C,OI0014626,2025-02-28,Arrived late,1407.08
RETO74317GH,OI0009936,2025-06-07,Damaged,1655.16
RETXTBIMLKW,OI0018359,2025-06-22,Damaged,9832.02
RETH7NBN29L,OI0035332,2025-05-14,Damaged,6206.8
RET8GAH8JCO,OI0014977,2024-09-11,Wrong Item,193.05
RETKVB01L9E,OI0036180,2025-07-29,Other,2128.34
RETSAM98AM7,OI0040054,2025-04-19,Wrong Item,4551.5
RETO0DWW76M,OI0018944,2025-02-02,Arrived late,9079.6
RETHW5FATIB,OI0000937,2024-04-22,Damaged,2614.52
RETVXTDTVDO,OI0034145,2025-04-24,Other,22612.32
RETME8V6U9U,OI0042094,2024-10-28,Other,579.21
RETXHKDFY03,OI0025656,2024-02-11,Not as described,1258.46
RET3G63Q8II,OI0014077,2024-12-11,Arrived late,565.69
RETIYHQURVA,OI0041698,2024-07-16,Other,6188.79
RETZGVX5PXF,OI0013925,2025-07-08,Damaged,1108.41
RETCKZGDGYL,OI0005182,2025-07-07,Damaged,6369.8
RETBTG5O0ZA,OI0026613,2024-01-27,Other,65007.94
